account_number,account_type,balance_date,balance,name,date_of_birth,contact_number,first_line_of_address,transaction_id,account_to,transaction_date,value
57224848,Joint,2023-01-31,30.59,Milt Laker,1945-03-27,077631114748,229 Lighthouse Bay Way,1934756474,22830156,2023-02-10,1987.3
72934756,Gold,2023-01-31,829.55,Andeee Targetter,1959-03-14,077267888814,6 Oakridge Avenue,1946831050,13267945,2023-02-04,1080.2
99481977,Basic,2023-01-31,940.06,Betsy Demangeon,2002-07-02,077873645269,2791 Melody Hill,1995126314,21694967,2023-02-07,1808.5
52814597,Gold,2023-01-31,899.39,Aluin Errey,1993-01-11,077748137461,65 Ramsey Court,2019114135,87876065,2023-02-01,1821.6
30374840,Basic,2023-01-31,564.42,Devlen Rous,1986-07-25,077351387322,4 Hudson Crossing,2041596503,76146870,2023-02-03,1278.2
97541080,Gold,2023-01-31,677.34,Emanuele Mitcham,1967-03-04,077266880904,8678 Oneill Place,2065900199,39542358,2023-02-11,2361.6
91658755,Basic,2023-01-31,347.59,Derk McCullough,2001-12-10,077112324244,50 Declaration Plaza,2072542154,98671410,2023-02-03,1016.9
57145139,Gold,2023-01-31,708.46,Timofei Knibb,1966-02-27,077409125369,7455 Raven Center,2073899234,86941058,2023-02-05,1233.7
71444662,Gold,2023-01-31,276.78,Adelice Ghidoli,1982-07-04,077319330281,52566 Shopko Street,2076804692,60017511,2023-02-04,1131.3
51471469,Gold,2023-01-31,611.19,Elli Hazleton,1981-12-08,077671784422,89314 Monica Lane,2094371123,45859156,2023-02-10,1725.1
21475060,Gold,2023-01-31,354.98,Leontine Boatswain,1959-05-17,077838565712,65 Dryden Point,2113578247,22696687,2023-02-12,1061.5
52317175,Gold,2023-01-31,25.94,Osborn Di Gregorio,1993-07-29,077698908775,7678 Little Fleur Road,2202297596,76256026,2023-02-12,1145.7
48831634,Basic,2023-01-31,146.94,Rockie Neasham,1932-07-14,077214495114,7 Warrior Pass,2239143797,12666385,2023-02-04,1593.8
37789180,Gold,2023-01-31,854.05,Conni Horry,1989-01-22,077395966131,4145 Sloan Drive,2285320620,89645445,2023-02-09,1726.4
46643937,Gold,2023-01-31,751.73,Taryn Likly,1970-08-14,077584875836,55 Melrose Terrace,2359633759,38990596,2023-02-07,1348.3
96837696,Gold,2023-01-31,889.9,Wenona McVitty,1988-04-14,077699796362,3 Crest Line Center,2390149693,32386770,2023-02-05,1131.8
70554021,Gold,2023-01-31,44.26,Nert Rosenzwig,1991-11-11,077280776110,684 Bobwhite Terrace,2395653497,60114464,2023-02-10,1188.3
84310867,Gold,2023-01-31,258.66,Emlynne Oneile,1968-08-19,077871594297,42 Stoughton Trail,2456424484,29288598,2023-02-14,1295.6
20908067,Basic,2023-01-31,607.53,Johnnie Exeter,1981-07-31,077670500402,53 Algoma Road,2488904619,35126236,2023-02-14,2138.0
11228111,Basic,2023-01-31,130.36,Shae Oxberry,1938-08-05,077802003865,9401 Village Pass,2499034262,28251857,2023-02-02,1501.3
28053942,Gold,2023-01-31,70.94,Donalt Sumbler,2001-12-24,077619027892,4408 Forest Park,2573182568,35210460,2023-02-01,1821.2
49216581,Gold,2023-01-31,911.91,Corie Twopenny,1973-09-18,077579843768,69370 Surrey Plaza,2577914652,13197335,2023-02-10,1812.5
78773905,Basic,2023-01-31,511.78,Kary Jeanneau,1949-12-02,077581411435,66 Lawn Junction,2589340206,25779398,2023-02-11,1104.5
92931020,Gold,2023-01-31,754.11,Sibylla Dowry,1975-08-03,077700782305,417 Schurz Parkway,2625787309,22374612,2023-02-11,1742.7
63714888,Basic,2023-01-31,632.75,Dennison Plank,1997-04-08,077698172293,137 Iowa Circle,2640055526,79329254,2023-02-12,1143.7
93192347,Gold,2023-01-31,298.01,Lori Furlow,1963-01-27,077501164237,5720 Gateway Drive,2654779653,24513968,2023-02-01,1277.2
42838186,Gold,2023-01-31,466.48,Shurlock Siviter,1989-01-11,077401023617,11082 Cottonwood Street,2733294954,15899774,2023-02-08,1382.5
65143384,Basic,2023-01-31,227.08,Annmaria Craske,1957-06-28,077505587763,1045 Thompson Circle,2799250149,77688406,2023-02-07,1516.3
84448752,Gold,2023-01-31,412.15,Opaline Huddart,1938-03-31,077532581601,927 Algoma Park,2833053614,76343783,2023-02-08,1253.6
78343618,Basic,2023-01-31,30.43,Torrence Owtram,1992-07-23,077848649593,84 Pepper Wood Pass,2837013145,87801896,2023-02-03,1632.0
52104303,Gold,2023-01-31,810.97,Fulton Cush,1935-11-17,077818008990,2484 Hagan Pass,2838292226,49840526,2023-02-09,1530.9
10553619,Basic,2023-01-31,756.2,Dud Gaunt,1983-12-04,077681115087,3 Canary Avenue,2843750091,20090784,2023-02-04,1263.9
34017695,Basic,2023-01-31,672.46,Herbie Matresse,1986-06-12,077915593923,5417 Iowa Avenue,2862721220,69796371,2023-02-14,2002.7
61178950,Basic,2023-01-31,104.88,Gawen Feldheim,1986-10-17,077551559282,9778 Larry Crossing,2882617933,41282329,2023-02-13,1023.0
50610780,Basic,2023-01-31,536.41,Leone Stiegers,1941-07-27,077497531798,912 Thackeray Lane,2926458525,70469258,2023-02-05,2112.8
18348734,Basic,2023-01-31,579.93,Colene Rastrick,1946-03-24,077955897701,8 Macpherson Terrace,2926917953,96121732,2023-02-11,1669.7
83981442,Gold,2023-01-31,89.35,Emelyne Victory,1975-06-27,077635714109,793 Oak Center,2959546091,65724980,2023-02-06,1138.4
79570236,Gold,2023-01-31,91.66,Cicily Dearnly,1980-05-13,077353891176,7585 Michigan Park,2966603895,39504855,2023-02-11,1000.2
68708795,Basic,2023-01-31,399.11,Berna Hawgood,1982-02-25,077256434196,3 Dexter Terrace,2973618347,72809943,2023-02-14,1297.2
71934515,Gold,2023-01-31,340.99,Edmund Roseby,1945-08-21,077754311768,643 Fordem Center,2976252556,62412215,2023-02-06,1011.5
52814597,Gold,2023-01-31,899.39,Aluin Errey,1993-01-11,077748137461,65 Ramsey Court,2978569654,11475827,2023-02-11,1129.9
30312615,Gold,2023-01-31,659.36,Kennan Roomes,1969-05-22,077376999770,1 Magdeline Road,3008338488,77797288,2023-02-05,1852.7
92195724,Gold,2023-01-31,726.92,Robyn Grinin,1938-05-27,077284741090,9 Grasskamp Lane,3058104928,38969279,2023-02-04,1579.8
59110895,Basic,2023-01-31,605.5,Arron Isaac,1951-07-30,077116758375,1278 Mallard Park,3072380945,22393008,2023-02-09,1260.0
14448009,Joint,2023-01-31,958.46,Brinn Attkins,1993-10-13,077538141937,70105 Hayes Way,3101879213,21392412,2023-02-04,1367.4
14448009,Joint,2023-01-31,958.46,Grayce Patel,2000-03-07,077935804352,70105 Hayes Way,3101879213,21392412,2023-02-04,1367.4
26669001,Basic,2023-01-31,70.04,Dot Yarker,2001-10-27,077411567799,3693 Tennyson Way,3107514675,33240853,2023-02-11,1318.1
33116647,Basic,2023-01-31,391.76,Kristos Mitchelmore,1986-04-07,077392923109,54 Loftsgordon Point,3138077927,66416254,2023-02-06,1095.4
64299012,Basic,2023-01-31,509.56,Ludvig Mustard,1998-08-14,077712521123,9125 Bultman Center,3142386262,86068003,2023-02-14,2620.1
14337606,Basic,2023-01-31,561.8,Em Willicott,1943-11-25,077460992733,7776 Parkside Way,3203866781,86339899,2023-02-06,1792.7
51298007,Basic,2023-01-31,427.17,Aeriel Robak,1983-03-05,077318674445,343 Pond Place,3227438283,27870202,2023-02-07,1613.2
80678427,Basic,2023-01-31,97.72,Miguelita Wildbore,1976-02-03,077865100182,134 Gale Hill,3268335284,61781801,2023-02-08,1051.4
94060198,Basic,2023-01-31,309.9,Scotti Bissiker,1941-05-29,077977050145,283 Grasskamp Hill,3298186899,96401230,2023-02-01,1663.4
32308270,Gold,2023-01-31,976.53,Alley Hazeman,1932-07-13,077104529577,9991 Heffernan Court,3364251460,92155262,2023-02-09,1060.0
95642341,Gold,2023-01-31,695.88,Stanley Loddy,1994-11-19,077335737122,45654 Mockingbird Trail,3365854789,41981752,2023-02-10,1375.3
22393008,Gold,2023-01-31,753.5,Toinette Dight,1951-07-30,077661260409,8 Bluejay Avenue,3435734426,28738041,2023-02-07,1806.9
72309641,Basic,2023-01-31,386.61,Simeon Westwell,1966-06-17,077196750963,57 Cordelia Drive,3441549473,64168292,2023-02-14,1323.7
94796578,Gold,2023-01-31,700.49,Elsie Screwton,1940-03-24,077774236856,33 Miller Way,3442958598,50219545,2023-02-01,1057.7
60667043,Gold,2023-01-31,937.62,Xaviera Morecombe,1936-06-06,077734631525,83 Cascade Court,3449677802,74604471,2023-02-11,1199.0
50772829,Basic,2023-01-31,47.57,Pall Lownsbrough,1939-01-19,077112760146,843 Dayton Avenue,3472782188,62412215,2023-02-12,1278.9
76169332,Basic,2023-01-31,615.46,Jacqueline Comello,1933-08-15,077366780779,2669 Sommers Way,3478144698,99481977,2023-02-02,1695.5
54868017,Gold,2023-01-31,789.86,Pen Wilshere,1934-05-11,077361493364,20 Laurel Point,3481459262,58811985,2023-02-08,1024.6
26506201,Basic,2023-01-31,592.7,Morton Heggs,1949-07-09,077505844255,327 Caliangt Road,3488111660,88568543,2023-02-11,1215.8
39516154,Gold,2023-01-31,620.87,Christalle Mitchel,1956-08-23,077445614911,641 Banding Drive,3493101317,95467370,2023-02-02,1273.1
19836996,Basic,2023-01-31,245.14,Madelle Attril,1996-07-14,077589616818,32 Morrow Drive,3525710887,44019515,2023-02-07,1159.5
11882775,Basic,2023-01-31,299.41,Maggi Huard,1935-08-01,077487245589,51 7th Place,3548407560,57084496,2023-02-01,1058.7
16334793,Gold,2023-01-31,297.75,Madelon Jerrolt,1964-05-17,077786860214,39 Lindbergh Terrace,3588310436,33632099,2023-02-11,1991.3
41561470,Gold,2023-01-31,750.8,Normy Ebbers,1964-08-12,077758113429,10 Dahle Point,3592959115,15563919,2023-02-14,1083.0
61087394,Basic,2023-01-31,112.81,Lalo Cheesman,1967-10-02,077507591005,1 Lawn Point,3693906904,46073044,2023-02-14,1879.5
26907311,Basic,2023-01-31,842.69,Aleta Ruvel,1942-12-25,077856477700,12 Carioca Point,3717091964,47091705,2023-02-05,1195.0
37319261,Basic,2023-01-31,574.42,Antonia Storrie,1985-07-29,077360930651,1733 Bunting Lane,3724174004,84448752,2023-02-06,1409.6
52442629,Basic,2023-01-31,617.92,Paulita Samme,1953-07-20,077113330058,52 Clemons Road,3741609099,38990596,2023-02-03,1462.8
15428008,Gold,2023-01-31,131.02,Pearl Tradewell,2004-05-20,077238864294,7 Mariners Cove Way,3764045884,88538200,2023-02-12,1077.3
81049128,Basic,2023-01-31,694.91,Joanne Shrieves,1961-12-21,077961408348,31 Sauthoff Terrace,3776478144,85559926,2023-02-09,1727.8
77342574,Gold,2023-01-31,907.34,Pace Le Guin,1941-12-02,077280999435,3 2nd Way,3827516005,19980716,2023-02-02,1774.7
43811112,Gold,2023-01-31,99.92,Tremain Eilert,1951-01-06,077881749686,29401 Sachtjen Trail,3858103926,76869201,2023-02-09,1485.0
17039422,Basic,2023-01-31,941.44,Agna Blenkiron,1980-05-04,077407748492,57 Harbort Trail,3873340968,91971494,2023-02-06,1053.5
95993993,Basic,2023-01-31,95.41,Elmore Byrne,2002-11-02,077869804011,8 Calypso Way,3925247009,68775529,2023-02-03,1266.7
74255305,Gold,2023-01-31,3.7,Sunny Grzegorecki,1965-05-22,077272693744,61 Victoria Park,3932700171,68484031,2023-02-11,1672.7
13277127,Basic,2023-01-31,793.22,Carissa Mulliss,1933-05-09,077154915911,4601 Canary Terrace,3959126042,38969279,2023-02-06,1037.3
26522255,Gold,2023-01-31,283.67,Tessa Rosenthaler,1972-01-22,077859434217,317 Kinsman Lane,3960597703,46913859,2023-02-08,1127.1
62222306,Gold,2023-01-31,304.45,Marice Brunsdon,1956-07-05,077718039705,4120 Monterey Parkway,3977310534,58126511,2023-02-04,1639.2
80808205,Basic,2023-01-31,280.92,Aymer Chessman,1979-05-14,077629430015,92952 Jackson Place,3988237213,47483982,2023-02-13,1017.6
18447548,Basic,2023-01-31,574.24,Amalle Townsend,1959-01-06,077564656009,3526 Sutherland Alley,4000808907,92145159,2023-02-13,1370.8
91142310,Basic,2023-01-31,363.08,Pierre Skatcher,1949-12-19,077253371140,745 Crownhardt Street,4013458284,46525458,2023-02-07,1225.0
25746852,Gold,2023-01-31,320.7,Rivkah Iacapucci,1954-08-30,077516033062,14 Weeping Birch Terrace,4023198668,84187157,2023-02-14,1485.7
41085190,Basic,2023-01-31,78.73,Drucie Adamkiewicz,1933-01-18,077956341732,533 Steensland Road,4025620235,45543867,2023-02-07,1522.0
22137086,Basic,2023-01-31,410.35,Kerry Gaze,1992-06-29,077903643984,3 Esker Place,4025712466,72784766,2023-02-09,1288.6
71280775,Basic,2023-01-31,427.44,Harmon Monroe,1990-05-08,077952399339,76 Myrtle Crossing,4052648021,23271383,2023-02-06,1176.9
90951743,Gold,2023-01-31,220.81,Meghan Axel,2004-11-04,077130575569,50314 Steensland Park,4126942025,35721788,2023-02-04,1548.2
58009817,Gold,2023-01-31,887.22,Cilka Krugmann,1936-11-11,077903604793,2 Melby Street,4129627066,24250015,2023-02-12,1354.4
64486954,Gold,2023-01-31,378.0,Eliza Morrad,1983-07-11,077443679085,30397 Morningstar Drive,4133808312,41282329,2023-02-05,1685.4
20425065,Basic,2023-01-31,866.77,Farrah Bernasek,1995-03-04,077324300770,839 Bluestem Crossing,4140747293,85156953,2023-02-14,2134.6
86339581,Gold,2023-01-31,91.76,Cathie Arnaldi,1931-07-03,077436688971,162 Larry Plaza,4141638013,10437896,2023-02-11,1107.1
53753986,Gold,2023-01-31,252.69,Georgie Hampton,1930-11-01,077825742292,7 Springview Drive,4143382547,81475774,2023-02-04,1059.1
29638033,Gold,2023-01-31,537.95,Barbaraanne Fredi,1963-04-01,077544564107,104 Dawn Drive,4167488191,75569387,2023-02-01,1775.6
31131351,Basic,2023-01-31,278.94,Danica Feldhammer,1937-09-26,077497290764,16 Ryan Center,4200359480,63556863,2023-02-06,1124.1
10231977,Basic,2023-01-31,61.63,Federico Cathro,1985-12-13,077283906757,12 Green Hill,4230172990,68315462,2023-02-09,1410.1
86108287,Basic,2023-01-31,523.61,Ilene Castro,1932-08-23,077546415066,25768 Browning Drive,4242985320,81181209,2023-02-10,1210.3
19094015,Basic,2023-01-31,548.65,Tom Twell,1940-08-11,077512644141,995 Debs Lane,4265537685,93009261,2023-02-06,1695.0
51504474,Basic,2023-01-31,153.25,Raeann Giamelli,1944-03-07,077141897730,50426 Lukken Court,4279360650,91576212,2023-02-08,1254.7
99734848,Gold,2023-01-31,354.29,Jana Sibthorp,1938-03-02,077302718672,48 Sutteridge Plaza,4286864758,42726921,2023-02-12,1342.4
48831634,Basic,2023-01-31,146.94,Rockie Neasham,1932-07-14,077214495114,7 Warrior Pass,4303172405,71381278,2023-02-11,1243.0
25677428,Basic,2023-01-31,307.44,Ivy Kiera,1982-05-27,077492070482,6703 Arkansas Parkway,4309240577,25941557,2023-02-12,1601.3
61847987,Basic,2023-01-31,874.22,Deloris Blackader,1937-09-07,077737759100,94017 Roth Place,4322436110,64683004,2023-02-08,2017.7
35633136,Gold,2023-01-31,603.11,Rora Couldwell,1985-02-19,077573728535,8 Golf View Way,4348426260,60522190,2023-02-08,1589.0
21749252,Gold,2023-01-31,646.27,Mufinella Hamor,1969-12-24,077554653747,7833 Alpine Alley,4359027095,52835507,2023-02-10,1098.2
34017695,Basic,2023-01-31,672.46,Herbie Matresse,1986-06-12,077915593923,5417 Iowa Avenue,4363519207,62862427,2023-02-13,1756.0
