account_number,transaction_date,transaction_value,balance
20129535,2023-01-31,,446.41
20176338,2023-01-31,,289.57
20242626,2023-01-31,,701.08
20248053,2023-01-31,,565.28
20263437,2023-01-31,,789.09
20280759,2023-01-31,,838.7
20287993,2023-01-31,,616.17
20316429,2023-01-31,,697.84
20345467,2023-01-31,,852.5
20369153,2023-01-31,,293.78
20372310,2023-01-31,,366.41
20413037,2023-01-31,,235.79
20425065,2023-01-31,,866.77
20464830,2023-01-31,,181.25
20632572,2023-01-31,,286.44
20704613,2023-01-31,,71.59
20705548,2023-01-31,,184.81
20720894,2023-01-31,,243.42
20838578,2023-01-31,,620.7
20849721,2023-01-31,,740.52
20851460,2023-01-31,,931.67
20878023,2023-01-31,,648.19
20908067,2023-01-31,,607.53
20991411,2023-01-31,,572.64
20992354,2023-01-31,,87.26
21001872,2023-01-31,,31.76
21032760,2023-01-31,,541.33
21047777,2023-01-31,,699.12
21142911,2023-01-31,,714.89
21293955,2023-01-31,,232.88
21314767,2023-01-31,,438.19
21368735,2023-01-31,,281.87
21392412,2023-01-31,,708.46
21464772,2023-01-31,,719.8
21475060,2023-01-31,,354.98
21515934,2023-01-31,,543.38
21550631,2023-01-31,,84.96
21558805,2023-01-31,,586.63
21601747,2023-01-31,,410.62
21618665,2023-01-31,,291.59
21646418,2023-01-31,,909.55
21655728,2023-01-31,,761.31
21675999,2023-01-31,,893.27
21694967,2023-01-31,,90.13
21705004,2023-01-31,,496.88
21711501,2023-01-31,,126.63
21716351,2023-01-31,,800.95
21719977,2023-01-31,,758.81
21728352,2023-01-31,,733.87
21749252,2023-01-31,,646.27
21750371,2023-01-31,,329.19
21816770,2023-01-31,,693.8
21844169,2023-01-31,,463.51
21844651,2023-01-31,,525.16
21881168,2023-01-31,,950.62
21898016,2023-01-31,,117.42
21918195,2023-01-31,,510.33
21966927,2023-01-31,,511.1
22027757,2023-01-31,,438.85
22035411,2023-01-31,,9.55
22054113,2023-01-31,,364.66
22063978,2023-01-31,,387.01
22099256,2023-01-31,,523.78
22137086,2023-01-31,,410.35
22268314,2023-01-31,,153.05
22292682,2023-01-31,,874.32
22298371,2023-01-31,,891.16
22341160,2023-01-31,,61.07
22374612,2023-01-31,,554.31
22391508,2023-01-31,,91.32
22393008,2023-01-31,,753.5
22403299,2023-01-31,,702.95
22404690,2023-01-31,,726.06
22412680,2023-01-31,,637.99
22483300,2023-01-31,,763.23
22683382,2023-01-31,,987.13
22696687,2023-01-31,,133.52
22730750,2023-01-31,,473.56
22799719,2023-01-31,,481.26
22830156,2023-01-31,,596.06
22833010,2023-01-31,,645.79
22846221,2023-01-31,,868.2
22884864,2023-01-31,,521.87
22888798,2023-01-31,,326.4
22951653,2023-01-31,,414.64
23030554,2023-01-31,,196.97
23032852,2023-01-31,,475.21
23045208,2023-01-31,,359.49
23093541,2023-01-31,,326.05
23124345,2023-01-31,,595.61
23141588,2023-01-31,,281.28
23231848,2023-01-31,,27.12
23269253,2023-01-31,,324.56
23271383,2023-01-31,,633.3
23289647,2023-01-31,,522.8
23295106,2023-01-31,,340.16
23310842,2023-01-31,,78.85
23321929,2023-01-31,,408.3
23325248,2023-01-31,,49.31
23333877,2023-01-31,,648.46
23369902,2023-01-31,,716.79
23415061,2023-01-31,,71.2
23445508,2023-01-31,,373.43
23479459,2023-01-31,,176.23
23490922,2023-01-31,,934.35
23498368,2023-01-31,,474.93
23501735,2023-01-31,,562.17
23580422,2023-01-31,,716.05
23698615,2023-01-31,,316.68
23736501,2023-01-31,,831.27
23775829,2023-01-31,,771.57
23815822,2023-01-31,,835.0
23865100,2023-01-31,,201.44
23920423,2023-01-31,,221.15
23931414,2023-01-31,,126.7
23932793,2023-01-31,,962.8
23935849,2023-01-31,,888.11
23942646,2023-01-31,,517.93
23959928,2023-01-31,,878.83
23962863,2023-01-31,,307.07
23971753,2023-01-31,,170.77
24010877,2023-01-31,,652.95
24051672,2023-01-31,,429.37
24076677,2023-01-31,,494.74
24085667,2023-01-31,,249.1
24113784,2023-01-31,,47.67
24122572,2023-01-31,,924.02
24123707,2023-01-31,,327.69
24125563,2023-01-31,,908.28
24149353,2023-01-31,,487.27
24150990,2023-01-31,,365.31
24178466,2023-01-31,,330.91
24184530,2023-01-31,,37.87
24198488,2023-01-31,,578.35
24250015,2023-01-31,,592.59
24285988,2023-01-31,,783.9
24298516,2023-01-31,,768.69
24299977,2023-01-31,,199.33
24308337,2023-01-31,,764.57
24370240,2023-01-31,,608.64
24382889,2023-01-31,,14.23
24406166,2023-01-31,,746.97
24434457,2023-01-31,,385.3
24462859,2023-01-31,,646.0
24510213,2023-01-31,,142.59
24513968,2023-01-31,,306.35
24516638,2023-01-31,,426.16
24519138,2023-01-31,,58.15
24529850,2023-01-31,,800.79
24531428,2023-01-31,,565.21
24533829,2023-01-31,,190.8
24533935,2023-01-31,,808.99
24539679,2023-01-31,,768.68
24577383,2023-01-31,,911.96
24638469,2023-01-31,,968.27
24669065,2023-01-31,,574.3
24715803,2023-01-31,,684.75
24725325,2023-01-31,,567.17
24796881,2023-01-31,,943.93
24826358,2023-01-31,,923.46
24849103,2023-01-31,,381.36
24859951,2023-01-31,,950.69
24860683,2023-01-31,,982.97
24976861,2023-01-31,,982.53
24999129,2023-01-31,,750.61
25004339,2023-01-31,,120.44
25006771,2023-01-31,,600.16
25033680,2023-01-31,,639.47
25099734,2023-01-31,,872.31
25110012,2023-01-31,,300.03
25133996,2023-01-31,,419.22
25146667,2023-01-31,,534.11
25240031,2023-01-31,,520.29
25269707,2023-01-31,,770.38
25281513,2023-01-31,,618.78
25310962,2023-01-31,,376.9
25318205,2023-01-31,,582.9
25406407,2023-01-31,,394.05
25412464,2023-01-31,,203.46
25439304,2023-01-31,,890.08
25504032,2023-01-31,,838.81
25510430,2023-01-31,,110.66
25522226,2023-01-31,,428.21
25584693,2023-01-31,,793.42
25596483,2023-01-31,,595.87
25628234,2023-01-31,,808.37
25636885,2023-01-31,,755.58
25677428,2023-01-31,,307.44
25678043,2023-01-31,,49.06
25698177,2023-01-31,,923.38
25710768,2023-01-31,,968.16
25737886,2023-01-31,,410.76
25746852,2023-01-31,,320.7
25768265,2023-01-31,,702.22
25779398,2023-01-31,,967.13
25787771,2023-01-31,,494.02
25807378,2023-01-31,,25.32
25893329,2023-01-31,,211.58
25931435,2023-01-31,,127.08
25939481,2023-01-31,,502.59
25941557,2023-01-31,,656.34
26008806,2023-01-31,,553.23
26023976,2023-01-31,,681.17
26070761,2023-01-31,,641.67
26087369,2023-01-31,,653.2
26101648,2023-01-31,,9.84
26102798,2023-01-31,,104.08
26109213,2023-01-31,,698.97
26115121,2023-01-31,,466.67
26118463,2023-01-31,,981.0
26248782,2023-01-31,,70.58
26375186,2023-01-31,,804.02
26432558,2023-01-31,,465.32
26506201,2023-01-31,,592.7
26522255,2023-01-31,,283.67
26528251,2023-01-31,,539.97
26632358,2023-01-31,,384.64
26643616,2023-01-31,,260.1
26669001,2023-01-31,,70.04
26675311,2023-01-31,,989.13
26751921,2023-01-31,,800.07
26791907,2023-01-31,,266.27
26793058,2023-01-31,,384.98
26863880,2023-01-31,,818.47
26874415,2023-01-31,,19.62
26884718,2023-01-31,,573.65
26888158,2023-01-31,,473.02
26893181,2023-01-31,,957.43
26906533,2023-01-31,,312.58
26907311,2023-01-31,,842.69
26953669,2023-01-31,,813.21
26958171,2023-01-31,,837.04
26964507,2023-01-31,,358.72
26979446,2023-01-31,,149.65
26985042,2023-01-31,,248.7
27010847,2023-01-31,,272.04
27108454,2023-01-31,,423.96
27117946,2023-01-31,,342.03
27170424,2023-01-31,,211.66
27193025,2023-01-31,,187.57
27193470,2023-01-31,,479.57
27203821,2023-01-31,,256.57
27264533,2023-01-31,,254.28
27305999,2023-01-31,,17.22
27334998,2023-01-31,,817.28
27356852,2023-01-31,,414.82
27357010,2023-01-31,,579.29
27382109,2023-01-31,,174.95
27388260,2023-01-31,,39.64
27389680,2023-01-31,,815.68
27415805,2023-01-31,,902.28
27430568,2023-01-31,,450.45
27580272,2023-01-31,,352.81
27582893,2023-01-31,,639.21
27585212,2023-01-31,,150.57
27589482,2023-01-31,,494.03
27596004,2023-01-31,,505.73
27600956,2023-01-31,,84.39
27625709,2023-01-31,,616.45
27628187,2023-01-31,,344.63
27713909,2023-01-31,,199.77
27806002,2023-01-31,,565.08
27821800,2023-01-31,,322.23
27845045,2023-01-31,,136.91
27870202,2023-01-31,,286.17
27985160,2023-01-31,,446.21
28053942,2023-01-31,,70.94
28063272,2023-01-31,,252.41
28142099,2023-01-31,,420.86
28222331,2023-01-31,,137.74
28240243,2023-01-31,,850.7
28247818,2023-01-31,,150.24
28251857,2023-01-31,,431.6
28254911,2023-01-31,,697.78
28362321,2023-01-31,,849.34
28380949,2023-01-31,,937.24
28429440,2023-01-31,,538.15
28548067,2023-01-31,,499.29
28553155,2023-01-31,,147.09
28572979,2023-01-31,,156.38
28595197,2023-01-31,,897.68
28606808,2023-01-31,,1.71
28629966,2023-01-31,,60.86
28640713,2023-01-31,,204.33
28652960,2023-01-31,,140.6
28659160,2023-01-31,,115.6
28680375,2023-01-31,,337.2
28696496,2023-01-31,,150.57
28738041,2023-01-31,,907.31
28743137,2023-01-31,,781.13
28745450,2023-01-31,,157.38
28754062,2023-01-31,,16.41
28781155,2023-01-31,,555.55
28811285,2023-01-31,,813.63
28819175,2023-01-31,,414.48
28822117,2023-01-31,,204.79
28909144,2023-01-31,,263.97
28911002,2023-01-31,,858.06
28969443,2023-01-31,,12.77
28976546,2023-01-31,,454.25
29000698,2023-01-31,,954.02
29017229,2023-01-31,,950.07
29039134,2023-01-31,,218.26
29043142,2023-01-31,,210.89
29052260,2023-01-31,,639.05
29061354,2023-01-31,,180.47
29074095,2023-01-31,,512.38
29222005,2023-01-31,,0.34
29238925,2023-01-31,,574.82
29288598,2023-01-31,,386.76
29303323,2023-01-31,,525.6
29358670,2023-01-31,,874.94
29422349,2023-01-31,,623.61
29464742,2023-01-31,,557.11
29473763,2023-01-31,,724.82
29489865,2023-01-31,,854.53
29523226,2023-01-31,,807.56
29527534,2023-01-31,,355.57
29608056,2023-01-31,,248.43
29631870,2023-01-31,,694.99
29638033,2023-01-31,,537.95
29639626,2023-01-31,,985.7
29705419,2023-01-31,,799.07
29878790,2023-01-31,,360.74
29887258,2023-01-31,,392.91
29920698,2023-01-31,,922.07
29958061,2023-01-31,,17.43
30030650,2023-01-31,,414.27
30058030,2023-01-31,,39.21
30093672,2023-01-31,,939.77
30110747,2023-01-31,,949.76
30112323,2023-01-31,,519.73
30196319,2023-01-31,,721.4
30227774,2023-01-31,,546.85
30235398,2023-01-31,,973.95
30237685,2023-01-31,,751.93
30279114,2023-01-31,,951.13
30312615,2023-01-31,,659.36
30324819,2023-01-31,,823.45
30340808,2023-01-31,,895.41
30372316,2023-01-31,,189.39
30374840,2023-01-31,,564.42
30396291,2023-01-31,,803.37
30409599,2023-01-31,,117.47
30428666,2023-01-31,,393.33
30484027,2023-01-31,,272.71
30511779,2023-01-31,,772.02
30518350,2023-01-31,,490.85
30557885,2023-01-31,,615.82
30565855,2023-01-31,,982.05
30623117,2023-01-31,,266.92
30647433,2023-01-31,,632.2
30657838,2023-01-31,,468.82
30671754,2023-01-31,,621.9
30672740,2023-01-31,,355.33
30688447,2023-01-31,,555.31
30718836,2023-01-31,,360.78
30723991,2023-01-31,,310.02
30758515,2023-01-31,,35.74
30760024,2023-01-31,,766.43
30791105,2023-01-31,,272.5
30929422,2023-01-31,,161.53
30970897,2023-01-31,,57.17
30977834,2023-01-31,,203.99
30979429,2023-01-31,,414.1
30990911,2023-01-31,,997.59
31026801,2023-01-31,,85.36
31131351,2023-01-31,,278.94
31150830,2023-01-31,,36.16
31158381,2023-01-31,,514.96
31183587,2023-01-31,,725.0
31187024,2023-01-31,,950.41
31263913,2023-01-31,,267.5
31319183,2023-01-31,,407.92
31335654,2023-01-31,,217.33
31367758,2023-01-31,,536.16
31392168,2023-01-31,,615.42
31525756,2023-01-31,,363.68
31537778,2023-01-31,,335.19
31541158,2023-01-31,,215.94
31557275,2023-01-31,,362.05
31589468,2023-01-31,,713.44
31594938,2023-01-31,,486.88
31595213,2023-01-31,,418.35
31661113,2023-01-31,,309.32
31670977,2023-01-31,,385.42
31680976,2023-01-31,,327.79
31689747,2023-01-31,,907.21
31693244,2023-01-31,,311.41
31759645,2023-01-31,,43.92
31770323,2023-01-31,,666.66
31774984,2023-01-31,,964.57
31826534,2023-01-31,,541.64
31830289,2023-01-31,,816.55
31873155,2023-01-31,,351.03
31957459,2023-01-31,,758.69
31978646,2023-01-31,,393.51
32019304,2023-01-31,,961.49
32084810,2023-01-31,,610.7
32092491,2023-01-31,,51.82
32109414,2023-01-31,,967.31
32131123,2023-01-31,,758.69
32192958,2023-01-31,,209.37
32221529,2023-01-31,,887.75
32221652,2023-01-31,,36.96
32261620,2023-01-31,,55.43
32275676,2023-01-31,,889.61
32308270,2023-01-31,,976.53
32312381,2023-01-31,,742.85
32312410,2023-01-31,,817.47
32370392,2023-01-31,,369.09
32386770,2023-01-31,,639.45
32390015,2023-01-31,,529.35
32400822,2023-01-31,,987.34
32408166,2023-01-31,,261.63
32424424,2023-01-31,,848.04
32474004,2023-01-31,,509.41
32476086,2023-01-31,,67.66
32597705,2023-01-31,,869.89
32641357,2023-01-31,,12.39
32679915,2023-01-31,,841.31
32737909,2023-01-31,,744.1
32803222,2023-01-31,,827.92
32824719,2023-01-31,,502.37
32888555,2023-01-31,,781.33
32930305,2023-01-31,,49.71
32934183,2023-01-31,,917.81
32973728,2023-01-31,,321.03
32991596,2023-01-31,,755.92
33014501,2023-01-31,,454.35
33112628,2023-01-31,,879.2
33116647,2023-01-31,,391.76
33159039,2023-01-31,,100.51
33168725,2023-01-31,,211.44
33173974,2023-01-31,,94.47
33202593,2023-01-31,,329.25
33240853,2023-01-31,,985.46
33259781,2023-01-31,,923.18
33270307,2023-01-31,,38.51
33348876,2023-01-31,,267.33
33351056,2023-01-31,,597.06
33381880,2023-01-31,,682.27
33403100,2023-01-31,,270.23
33414190,2023-01-31,,204.38
33424425,2023-01-31,,23.18
33470885,2023-01-31,,531.96
33505838,2023-01-31,,76.39
33527603,2023-01-31,,413.42
33527759,2023-01-31,,245.55
33561341,2023-01-31,,749.16
33632099,2023-01-31,,943.81
33634912,2023-01-31,,888.99
33749113,2023-01-31,,590.37
33749812,2023-01-31,,121.02
33750944,2023-01-31,,100.44
33771855,2023-01-31,,886.78
33806253,2023-01-31,,847.44
33832864,2023-01-31,,46.85
33906740,2023-01-31,,820.46
33914941,2023-01-31,,665.9
33915504,2023-01-31,,742.98
33967237,2023-01-31,,324.8
34017695,2023-01-31,,672.46
34027487,2023-01-31,,54.87
34112514,2023-01-31,,974.1
34128127,2023-01-31,,275.83
34158235,2023-01-31,,50.76
34190086,2023-01-31,,890.87
34252525,2023-01-31,,107.18
34264499,2023-01-31,,864.86
34275044,2023-01-31,,532.29
34284479,2023-01-31,,74.46
34336001,2023-01-31,,396.75
34351752,2023-01-31,,30.31
34374766,2023-01-31,,916.09
34400277,2023-01-31,,207.59
34403979,2023-01-31,,101.14
34461285,2023-01-31,,149.82
34482885,2023-01-31,,359.84
34650969,2023-01-31,,177.82
34681193,2023-01-31,,183.13
34866268,2023-01-31,,516.92
34867145,2023-01-31,,212.16
34902863,2023-01-31,,31.36
34908905,2023-01-31,,887.49
34921262,2023-01-31,,971.82
34960760,2023-01-31,,981.79
35038984,2023-01-31,,566.36
35051369,2023-01-31,,637.18
35082945,2023-01-31,,713.95
35083564,2023-01-31,,599.99
35126236,2023-01-31,,739.8
35160368,2023-01-31,,53.59
35177782,2023-01-31,,79.03
35194218,2023-01-31,,842.34
35197451,2023-01-31,,411.69
35210460,2023-01-31,,185.3
35293864,2023-01-31,,592.55
35321469,2023-01-31,,194.57
35330225,2023-01-31,,717.9
35345678,2023-01-31,,381.43
35379604,2023-01-31,,171.68
35391237,2023-01-31,,412.06
35391340,2023-01-31,,886.56
35405748,2023-01-31,,19.49
35445202,2023-01-31,,972.48
35506101,2023-01-31,,713.65
35510004,2023-01-31,,723.62
35539408,2023-01-31,,469.13
35540836,2023-01-31,,17.91
35549277,2023-01-31,,505.72
35555120,2023-01-31,,598.72
35564578,2023-01-31,,621.37
35574156,2023-01-31,,471.05
35614465,2023-01-31,,276.17
35616763,2023-01-31,,279.43
35633136,2023-01-31,,603.11
35642953,2023-01-31,,137.26
35652360,2023-01-31,,41.81
35698347,2023-01-31,,258.22
35712712,2023-01-31,,828.88
35721788,2023-01-31,,837.07
35726421,2023-01-31,,379.1
35746207,2023-01-31,,785.36
35762783,2023-01-31,,346.14
35772673,2023-01-31,,517.9
35799522,2023-01-31,,750.79
35805852,2023-01-31,,886.37
35827625,2023-01-31,,445.63
35869347,2023-01-31,,768.74
35948735,2023-01-31,,117.14
35996817,2023-01-31,,187.89
36007496,2023-01-31,,239.44
36106467,2023-01-31,,720.17
36110938,2023-01-31,,532.77
36112473,2023-01-31,,530.67
36114551,2023-01-31,,876.22
36126802,2023-01-31,,617.04
36131723,2023-01-31,,602.96
36141472,2023-01-31,,656.7
36143004,2023-01-31,,256.22
36171568,2023-01-31,,343.44
36192947,2023-01-31,,744.33
36197772,2023-01-31,,962.03
36258926,2023-01-31,,549.71
36259936,2023-01-31,,628.23
36296704,2023-01-31,,491.31
36327122,2023-01-31,,808.81
36389309,2023-01-31,,469.45
36393557,2023-01-31,,407.12
36419197,2023-01-31,,627.78
36425954,2023-01-31,,93.85
36519974,2023-01-31,,922.41
36549889,2023-01-31,,760.2
