Account Number;Balance Date;Transaction Value;Balance;date
16191280;07/02/2023;113.55;1626.88;2023-02-07
18451683;13/02/2023;62.08;-291.16;2023-02-13
93707181;05/02/2023;87.06;653.42;2023-02-05
30647433;10/02/2023;104.39;-38.05;2023-02-10
24198488;05/02/2023;133.57;542.94;2023-02-05
20878023;08/02/2023;-107.64;287.12;2023-02-08
16013218;06/02/2023;1436.4;1842.92;2023-02-06
17024652;31/01/2023;;918.84;2023-01-31
65429379;09/02/2023;118.21;328.03;2023-02-09
81245588;10/02/2023;83.51;773.46;2023-02-10
52747145;04/02/2023;163.28;602.19;2023-02-04
18582171;05/02/2023;122.01;745.14;2023-02-05
92319358;09/02/2023;-625.1;2074.5;2023-02-09
50024545;07/02/2023;-113.13;838.87;2023-02-07
85652943;02/02/2023;-95.52;328.98;2023-02-02
31541158;13/02/2023;-110.17;192.05;2023-02-13
80168427;01/02/2023;-181.06;-243.27;2023-02-01
17983851;09/02/2023;-67.11;1856.42;2023-02-09
36696277;01/02/2023;153.43;548.85;2023-02-01
70221848;03/02/2023;175.55;796.29;2023-02-03
12666385;04/02/2023;1593.8;2500.64;2023-02-04
99791709;04/02/2023;-2.86;65.69;2023-02-04
10949168;07/02/2023;71.99;310.17;2023-02-07
77587664;12/02/2023;72.94;762.34;2023-02-12
31183587;13/02/2023;-76.49;1127.73;2023-02-13
92221411;04/02/2023;72.06;775.84;2023-02-04
15826579;11/02/2023;1137.9;-620.51;2023-02-11
61423373;10/02/2023;-655.8;-979.93;2023-02-10
94331180;13/02/2023;-70.85;-40.5;2023-02-13
75692380;12/02/2023;76.48;567.47;2023-02-12
35445202;04/02/2023;-95.01;1015.81;2023-02-04
26102798;09/02/2023;-108.34;-606.95;2023-02-09
43811112;13/02/2023;65.54;59.63;2023-02-13
42752982;31/01/2023;;526.19;2023-01-31
96153427;07/02/2023;85.35;314.32;2023-02-07
86020532;12/02/2023;44.97;1042.13;2023-02-12
85724829;13/02/2023;39.15;640.15;2023-02-13
57436108;02/02/2023;49.76;949.22;2023-02-02
31392168;10/02/2023;143.84;752.57;2023-02-10
72809943;06/02/2023;-57.47;681.4;2023-02-06
97970258;08/02/2023;-64.87;8.86;2023-02-08
88681540;13/02/2023;144.82;531.68;2023-02-13
76256026;07/02/2023;-62.85;-698.24;2023-02-07
60916657;05/02/2023;-76.57;934.35;2023-02-05
11846043;31/01/2023;;915.59;2023-01-31
56842874;31/01/2023;;22.02;2023-01-31
39516203;03/02/2023;129.19;818.38;2023-02-03
50693024;09/02/2023;-54.92;279.43;2023-02-09
90336689;02/02/2023;169.64;1017.52;2023-02-02
10231977;08/02/2023;-68.31;109.32;2023-02-08
80291188;01/02/2023;70.27;408.92;2023-02-01
31759645;10/02/2023;-150.77;-749.38;2023-02-10
83698413;07/02/2023;113.6;337.27;2023-02-07
66152145;31/01/2023;;83.45;2023-01-31
55791547;07/02/2023;-85.35;672.82;2023-02-07
62222306;02/02/2023;-108.46;195.99;2023-02-02
53089607;02/02/2023;147.42;877.18;2023-02-02
92898446;09/02/2023;-132.58;119.84;2023-02-09
85362253;08/02/2023;92.43;658.81;2023-02-08
93388304;11/02/2023;-3.02;495.03;2023-02-11
44378133;01/02/2023;-12.5;708.71;2023-02-01
57096259;02/02/2023;168.98;709.52;2023-02-02
85493851;14/02/2023;93.61;590;2023-02-14
46561814;09/02/2023;124.56;-0.44;2023-02-09
48318402;04/02/2023;-44.62;920.66;2023-02-04
56453199;08/02/2023;-105.53;428.63;2023-02-08
68689742;07/02/2023;56.42;223.5;2023-02-07
87533652;14/02/2023;81.26;369.32;2023-02-14
53887772;06/02/2023;-114.95;190.82;2023-02-06
87504607;11/02/2023;-83.49;842.85;2023-02-11
14749214;07/02/2023;-145.52;98.34;2023-02-07
25768265;02/02/2023;-1902.2;-1199.98;2023-02-02
51325070;01/02/2023;104.85;1038.25;2023-02-01
15468532;09/02/2023;132.75;771.45;2023-02-09
63845700;02/02/2023;-184.44;672.51;2023-02-02
58930654;31/01/2023;;661.48;2023-01-31
87543952;09/02/2023;125.94;123.95;2023-02-09
43368978;11/02/2023;64.21;-122.74;2023-02-11
75573750;31/01/2023;;159.92;2023-01-31
38316158;05/02/2023;92.28;532.83;2023-02-05
46215382;04/02/2023;-57.41;-1306.1;2023-02-04
86268635;02/02/2023;77.54;756.86;2023-02-02
79033058;13/02/2023;-47.82;-216.63;2023-02-13
66706067;11/02/2023;-52.74;-214.32;2023-02-11
54452317;05/02/2023;56.72;381.42;2023-02-05
90313378;03/02/2023;-99.93;1266.67;2023-02-03
64526097;13/02/2023;157.41;998.27;2023-02-13
43387803;10/02/2023;-113.99;782.92;2023-02-10
67466632;11/02/2023;-196.49;-582.7;2023-02-11
15296624;31/01/2023;;731.68;2023-01-31
77880852;04/02/2023;55.7;2322.23;2023-02-04
12666385;12/02/2023;149.57;2650.21;2023-02-12
57186194;14/02/2023;-756.9;-234.32;2023-02-14
66449974;12/02/2023;-1265.1;-381.73;2023-02-12
25110012;31/01/2023;;300.03;2023-01-31
20248053;14/02/2023;-114.98;431.13;2023-02-14
39620163;14/02/2023;-99.23;-308.6;2023-02-14
77668890;13/02/2023;-98.34;646.66;2023-02-13
34128127;11/02/2023;-45.02;1311.96;2023-02-11
93076057;04/02/2023;87.35;449.73;2023-02-04
43420385;02/02/2023;117.9;999.39;2023-02-02
96605778;09/02/2023;75.39;152.36;2023-02-09
70163139;11/02/2023;100.86;1225.42;2023-02-11
69533742;06/02/2023;129.51;2085.01;2023-02-06
22268314;31/01/2023;;153.05;2023-01-31
97581232;07/02/2023;135.32;744.21;2023-02-07
18685463;31/01/2023;;476.02;2023-01-31
74770758;31/01/2023;;643.52;2023-01-31
54377538;02/02/2023;75.99;921.92;2023-02-02
48940493;02/02/2023;217.51;611.7;2023-02-02
84411377;12/02/2023;-351.6;631.16;2023-02-12
39504855;14/02/2023;-72.35;1777.72;2023-02-14
40189934;04/02/2023;-1705.8;922.71;2023-02-04
19876635;11/02/2023;147.81;476.8;2023-02-11
86131065;09/02/2023;-73.98;912.61;2023-02-09
95277712;11/02/2023;-133.67;72.67;2023-02-11
35160368;01/02/2023;41.55;95.14;2023-02-01
63381038;13/02/2023;151.93;762.9;2023-02-13
41282329;09/02/2023;-112.38;1611.07;2023-02-09
25240031;02/02/2023;140.31;660.6;2023-02-02
65200379;03/02/2023;37.15;41.42;2023-02-03
67674594;01/02/2023;61.16;187.32;2023-02-01
60189055;05/02/2023;-62.74;194.32;2023-02-05
80761210;31/01/2023;;545.59;2023-01-31
50627436;08/02/2023;473.2;841.02;2023-02-08
97328154;09/02/2023;135.18;357.93;2023-02-09
52117174;31/01/2023;;932.96;2023-01-31
36425954;04/02/2023;150.84;98.1;2023-02-04
14685853;04/02/2023;109.08;11.91;2023-02-04
46597215;09/02/2023;-11.47;1805.97;2023-02-09
12388837;07/02/2023;65.45;400.81;2023-02-07
68393439;02/02/2023;-174.74;746.06;2023-02-02
68198696;05/02/2023;27.36;1006.82;2023-02-05
57450523;11/02/2023;-77.75;591.44;2023-02-11
38502892;06/02/2023;-62.08;538.24;2023-02-06
76662799;09/02/2023;70.71;122.72;2023-02-09
51471469;12/02/2023;-50.94;-1268.06;2023-02-12
23333877;09/02/2023;166.64;873.48;2023-02-09
15428008;07/02/2023;-199.86;-68.84;2023-02-07
41706310;05/02/2023;89.54;404.92;2023-02-05
44902994;05/02/2023;99.16;-353.39;2023-02-05
29000698;12/02/2023;191.61;1109.66;2023-02-12
94044891;13/02/2023;-112.88;333.49;2023-02-13
84969883;14/02/2023;-117.34;289.78;2023-02-14
51504474;09/02/2023;134.52;-784.07;2023-02-09
98717357;06/02/2023;-104;-1493.45;2023-02-06
75762044;05/02/2023;80.83;1561.14;2023-02-05
65097827;09/02/2023;102.14;1250.65;2023-02-09
39386771;04/02/2023;-94.61;89.05;2023-02-04
46442210;02/02/2023;-118.22;613.92;2023-02-02
66896515;05/02/2023;-190.01;1176.14;2023-02-05
92943637;02/02/2023;-140.57;-112.34;2023-02-02
47781255;14/02/2023;124.48;747.99;2023-02-14
12185627;13/02/2023;-91.8;1274.8;2023-02-13
50887252;14/02/2023;-129.59;1672.45;2023-02-14
77722115;05/02/2023;80.56;746.8;2023-02-05
75027308;31/01/2023;;307.44;2023-01-31
57450523;03/02/2023;82.41;691.82;2023-02-03
27389680;31/01/2023;;815.68;2023-01-31
21711501;03/02/2023;-1882.4;-1629.41;2023-02-03
37164421;03/02/2023;145.42;448.1;2023-02-03
99685765;09/02/2023;34.17;-900.01;2023-02-09
41584073;10/02/2023;133.89;625.82;2023-02-10
27600956;04/02/2023;33.69;118.08;2023-02-04
85551186;09/02/2023;99.59;-87.54;2023-02-09
72466733;31/01/2023;;580.24;2023-01-31
66239954;12/02/2023;-48.67;437.35;2023-02-12
71293250;11/02/2023;-99.36;791.02;2023-02-11
80291188;11/02/2023;-75.48;199.76;2023-02-11
23231848;06/02/2023;-97.52;-2019.68;2023-02-06
78541427;14/02/2023;-95.3;-1584.08;2023-02-14
69315008;01/02/2023;-72.79;1902.89;2023-02-01
86728138;04/02/2023;-214.78;-39.42;2023-02-04
92944470;12/02/2023;110.14;705.2;2023-02-12
67147649;14/02/2023;98.34;1686.02;2023-02-14
52835507;05/02/2023;109.41;296.41;2023-02-05
50324230;05/02/2023;-64.51;880.64;2023-02-05
30058030;12/02/2023;89.64;167.21;2023-02-12
13076932;02/02/2023;-125.46;294.01;2023-02-02
23962863;03/02/2023;-43.61;-336.34;2023-02-03
18928638;02/02/2023;-162.41;-11.46;2023-02-02
58547184;05/02/2023;83.83;1935.68;2023-02-05
33771855;31/01/2023;;886.78;2023-01-31
43312288;08/02/2023;110.55;631.24;2023-02-08
24715803;31/01/2023;;684.75;2023-01-31
80761210;07/02/2023;-105.09;310.13;2023-02-07
73234341;31/01/2023;;811.71;2023-01-31
73410227;06/02/2023;52.84;653.49;2023-02-06
94044891;06/02/2023;57.47;446.37;2023-02-06
62320219;05/02/2023;-49.95;382.41;2023-02-05
86272488;14/02/2023;88.35;10.65;2023-02-14
31774984;08/02/2023;164.7;1378.33;2023-02-08
90203948;13/02/2023;63.14;2591.75;2023-02-13
18052851;31/01/2023;;672.09;2023-01-31
95527674;03/02/2023;-145.97;707.34;2023-02-03
98070849;01/02/2023;-106.8;1207.53;2023-02-01
15428008;09/02/2023;-548.3;-617.14;2023-02-09
79771974;03/02/2023;613;963.67;2023-02-03
58874842;14/02/2023;86.86;516.44;2023-02-14
42813808;31/01/2023;;633.08;2023-01-31
19524427;06/02/2023;151.44;-42.2;2023-02-06
27625709;14/02/2023;128.39;761.73;2023-02-14
37017424;13/02/2023;71.51;-1400.67;2023-02-13
77847751;13/02/2023;26;605.96;2023-02-13
10232603;07/02/2023;-185.47;-1318.82;2023-02-07
21750371;06/02/2023;131.96;372.6;2023-02-06
80596699;13/02/2023;-26.24;691.73;2023-02-13
22137086;08/02/2023;-69.06;2399.53;2023-02-08
21749252;08/02/2023;-110.15;693.03;2023-02-08
40548885;04/02/2023;-25.82;134.5;2023-02-04
49253709;01/02/2023;-120.88;417.6;2023-02-01
30279114;01/02/2023;144.31;1095.44;2023-02-01
83128544;13/02/2023;-132.3;-184.47;2023-02-13
30279114;31/01/2023;;951.13;2023-01-31
88568543;01/02/2023;-168.34;304.49;2023-02-01
38957380;07/02/2023;-112.51;-27.97;2023-02-07
47266645;06/02/2023;122.69;1015.56;2023-02-06
71280775;03/02/2023;-124.88;368.36;2023-02-03
95759022;02/02/2023;-28.18;126.23;2023-02-02
13537427;11/02/2023;246.42;1020.66;2023-02-11
28553155;01/02/2023;-131.36;15.73;2023-02-01
18563743;12/02/2023;-58.63;601.72;2023-02-12
73275714;11/02/2023;135.38;763.42;2023-02-11
62470872;14/02/2023;-140.8;454.85;2023-02-14
72008772;03/02/2023;1791.6;2405.92;2023-02-03
90480183;05/02/2023;94.53;596.9;2023-02-05
26979446;14/02/2023;-70.4;411.12;2023-02-14
16977372;31/01/2023;;675.5;2023-01-31
15100785;31/01/2023;;934.1;2023-01-31
73512834;01/02/2023;103.58;528.17;2023-02-01
82930132;04/02/2023;69.05;568.68;2023-02-04
48625559;14/02/2023;-53.72;1032.34;2023-02-14
77880852;07/02/2023;81.45;2263.65;2023-02-07
70409852;09/02/2023;-67.33;651.26;2023-02-09
22833010;06/02/2023;110.76;426.32;2023-02-06
21844651;03/02/2023;104.89;630.05;2023-02-03
92563438;01/02/2023;-164.94;908.43;2023-02-01
77026279;13/02/2023;101.58;1862.37;2023-02-13
26675311;07/02/2023;-15.66;858.59;2023-02-07
87533652;07/02/2023;-67.88;134.87;2023-02-07
42268900;31/01/2023;;521.35;2023-01-31
98849007;12/02/2023;183.53;349.65;2023-02-12
94716844;14/02/2023;198.2;823.14;2023-02-14
98336782;11/02/2023;128.1;157.78;2023-02-11
27596004;01/02/2023;989.3;1495.03;2023-02-01
39160879;01/02/2023;-186.89;257.26;2023-02-01
26953669;03/02/2023;-100.42;1322.91;2023-02-03
50122119;12/02/2023;-970.8;54.23;2023-02-12
34017695;14/02/2023;-2002.7;-3249.31;2023-02-14
75394177;01/02/2023;-189.07;214.23;2023-02-01
32109414;31/01/2023;;967.31;2023-01-31
68928221;12/02/2023;99.99;906.17;2023-02-12
46322903;31/01/2023;;873.01;2023-01-31
93446276;01/02/2023;89.8;461.69;2023-02-01
89406032;05/02/2023;-176.37;153.15;2023-02-05
44075619;09/02/2023;97.39;1101.07;2023-02-09
62158499;13/02/2023;-17.92;68.45;2023-02-13
29489865;31/01/2023;;854.53;2023-01-31
28553155;03/02/2023;-106.67;-90.94;2023-02-03
54300071;12/02/2023;-134.97;2465.53;2023-02-12
62362650;08/02/2023;-85.01;769.5;2023-02-08
22799719;13/02/2023;-180.81;428.81;2023-02-13
21001872;10/02/2023;-106.72;-62.73;2023-02-10
51079213;11/02/2023;-26.87;565.01;2023-02-11
35726421;13/02/2023;32.01;453.78;2023-02-13
29958061;07/02/2023;183.11;652.08;2023-02-07
42181728;06/02/2023;-98.86;-105.64;2023-02-06
40813783;06/02/2023;32.2;451.07;2023-02-06
87261106;31/01/2023;;203.16;2023-01-31
36171568;14/02/2023;151.47;325.44;2023-02-14
70331285;08/02/2023;-74.39;462.95;2023-02-08
26643616;09/02/2023;74.6;126.86;2023-02-09
81646873;09/02/2023;10.45;291.54;2023-02-09
29705419;03/02/2023;-749.7;202.14;2023-02-03
62862427;31/01/2023;;545.14;2023-01-31
26863880;14/02/2023;76.32;1528.69;2023-02-14
46792863;06/02/2023;159.47;1009.26;2023-02-06
49400211;09/02/2023;67.33;1088.61;2023-02-09
33771855;01/02/2023;153.65;1040.43;2023-02-01
31026801;11/02/2023;-62.33;-172.96;2023-02-11
44759468;31/01/2023;;962.91;2023-01-31
22412680;14/02/2023;104.53;879.49;2023-02-14
38157078;07/02/2023;-86.52;1334.63;2023-02-07
33381880;12/02/2023;131.34;509.46;2023-02-12
93009261;08/02/2023;1169.6;3715.64;2023-02-08
45067158;10/02/2023;177.19;217.09;2023-02-10
77017650;04/02/2023;-92.05;625.3;2023-02-04
60138058;09/02/2023;45;1068.05;2023-02-09
41778536;08/02/2023;-42.43;717.42;2023-02-08
99937043;04/02/2023;123.12;917.82;2023-02-04
52756904;04/02/2023;-118.08;310.69;2023-02-04
14448009;08/02/2023;-1779.2;-2132.07;2023-02-08
38606148;12/02/2023;131.58;813.79;2023-02-12
86106528;06/02/2023;11.94;371.21;2023-02-06
88657589;05/02/2023;98.03;807.64;2023-02-05
59737910;31/01/2023;;523.19;2023-01-31
86489618;09/02/2023;166.16;687.45;2023-02-09
17983851;01/02/2023;160.4;1009.64;2023-02-01
81145048;05/02/2023;859.9;903.33;2023-02-05
58873428;31/01/2023;;191.58;2023-01-31
31367758;10/02/2023;835.9;1557.65;2023-02-10
75551521;31/01/2023;;538.64;2023-01-31
71082437;13/02/2023;-76.11;786.82;2023-02-13
68798691;11/02/2023;-36.07;681.12;2023-02-11
33259781;07/02/2023;66.88;962.2;2023-02-07
65724980;31/01/2023;;307.93;2023-01-31
59128512;31/01/2023;;305.71;2023-01-31
21142911;10/02/2023;160.6;695.92;2023-02-10
51398784;07/02/2023;313.5;1222.7;2023-02-07
76629706;31/01/2023;;962.66;2023-01-31
26101648;03/02/2023;76.87;86.71;2023-02-03
65926576;10/02/2023;82.23;253.18;2023-02-10
60996794;13/02/2023;-1525.2;-2403.68;2023-02-13
46643937;07/02/2023;-1348.3;-540.88;2023-02-07
28781155;02/02/2023;99.34;654.89;2023-02-02
28659160;07/02/2023;98.93;-420.52;2023-02-07
44331942;03/02/2023;60.47;674.94;2023-02-03
77010964;05/02/2023;91.81;990.92;2023-02-05
66667727;04/02/2023;146.82;723.9;2023-02-04
53887772;11/02/2023;-42.19;148.63;2023-02-11
88968006;04/02/2023;-89.95;919.75;2023-02-04
65579734;07/02/2023;97.26;1025.34;2023-02-07
15768459;03/02/2023;-44;799.34;2023-02-03
63556863;01/02/2023;-0.5;633.9;2023-02-01
12859818;10/02/2023;-131.38;-354.94;2023-02-10
92390334;31/01/2023;;602.62;2023-01-31
36114551;03/02/2023;-1488;-624.31;2023-02-03
71381278;12/02/2023;-245.7;1415.34;2023-02-12
45706674;04/02/2023;-150.84;-974.58;2023-02-04
31978646;10/02/2023;89.99;450.04;2023-02-10
67635951;01/02/2023;77.61;937.09;2023-02-01
77980498;31/01/2023;;893.87;2023-01-31
81384411;11/02/2023;67.21;-1007.49;2023-02-11
85501046;08/02/2023;-57.32;303.64;2023-02-08
21844651;04/02/2023;73.5;666.53;2023-02-04
27388260;09/02/2023;30.61;128.13;2023-02-09
77504884;12/02/2023;-51.05;1145;2023-02-12
17434670;12/02/2023;139.56;-792.71;2023-02-12
63381038;08/02/2023;69.06;610.97;2023-02-08
22099256;06/02/2023;-127.87;176.98;2023-02-06
92145159;12/02/2023;-2208.4;-1915.93;2023-02-12
39749381;04/02/2023;91.7;406.22;2023-02-04
57027965;10/02/2023;-210.62;300.76;2023-02-10
43064169;03/02/2023;-141.26;1403.14;2023-02-03
24516638;31/01/2023;;426.16;2023-01-31
11662506;09/02/2023;-38.09;560.63;2023-02-09
52125171;01/02/2023;112.77;1085.94;2023-02-01
64331821;31/01/2023;;519.62;2023-01-31
26863880;14/02/2023;101.53;1452.37;2023-02-14
42322494;12/02/2023;110.14;612.99;2023-02-12
21515934;31/01/2023;;543.38;2023-01-31
91834926;14/02/2023;89.16;737.22;2023-02-14
64979248;10/02/2023;15.31;96.14;2023-02-10
80787776;10/02/2023;-112.36;-857.89;2023-02-10
77722115;06/02/2023;134.96;743.44;2023-02-06
51504474;31/01/2023;;153.25;2023-01-31
94200289;12/02/2023;153.75;303.08;2023-02-12
50837270;31/01/2023;;613.53;2023-01-31
48350476;04/02/2023;-152.03;126.82;2023-02-04
44711172;04/02/2023;150.01;358.09;2023-02-04
20425065;31/01/2023;;866.77;2023-01-31
33470885;03/02/2023;-107.9;529.96;2023-02-03
80877479;09/02/2023;203.24;-1071.77;2023-02-09
98237008;13/02/2023;199.57;751.77;2023-02-13
38316158;07/02/2023;35.98;568.81;2023-02-07
97843608;31/01/2023;;19.05;2023-01-31
76257915;31/01/2023;;795.66;2023-01-31
48831634;06/02/2023;141.38;-1396.39;2023-02-06
18447548;12/02/2023;44.09;581.74;2023-02-12
36126802;31/01/2023;;617.04;2023-01-31
43387803;05/02/2023;23.02;906.58;2023-02-05
48075275;01/02/2023;-77.94;803.37;2023-02-01
24519138;14/02/2023;126.36;339.87;2023-02-14
87456121;09/02/2023;-82.14;163.39;2023-02-09
53089607;11/02/2023;161.33;861.63;2023-02-11
80168427;31/01/2023;;19.01;2023-01-31
67502738;10/02/2023;-104.93;251.29;2023-02-10
44007497;08/02/2023;61.39;341.77;2023-02-08
85562851;08/02/2023;-19.11;87.12;2023-02-08
39875057;09/02/2023;-115.89;-139.27;2023-02-09
17228160;02/02/2023;-54.57;1183.69;2023-02-02
50219545;14/02/2023;1209;2070.37;2023-02-14
66914990;09/02/2023;-125.11;679.29;2023-02-09
99553778;13/02/2023;-47.54;-58.65;2023-02-13
52146995;05/02/2023;-49.2;778.3;2023-02-05
50547726;31/01/2023;;675.06;2023-01-31
13537427;07/02/2023;164.7;774.24;2023-02-07
15265700;12/02/2023;91.07;36.21;2023-02-12
49961732;09/02/2023;22.93;759.65;2023-02-09
65380590;07/02/2023;73.26;795.7;2023-02-07
44243236;04/02/2023;51.81;904.36;2023-02-04
59405362;08/02/2023;-195.9;376.61;2023-02-08
60866500;11/02/2023;-79.43;349.59;2023-02-11
97988499;08/02/2023;1026.8;1218.49;2023-02-08
68793483;31/01/2023;;581.36;2023-01-31
40813783;07/02/2023;119.18;570.25;2023-02-07
38780970;31/01/2023;;846.59;2023-01-31
60138058;04/02/2023;59.13;859.05;2023-02-04
32474004;31/01/2023;;509.41;2023-01-31
26102798;12/02/2023;108.99;-656.34;2023-02-12
10295384;31/01/2023;;153.85;2023-01-31
39504855;11/02/2023;1000.2;1940.32;2023-02-11
50219545;31/01/2023;;548.12;2023-01-31
72925782;11/02/2023;-149.84;973.94;2023-02-11
74770758;07/02/2023;27.88;1085.95;2023-02-07
75762044;05/02/2023;617.7;1480.31;2023-02-05
57886631;13/02/2023;-143.14;639.97;2023-02-13
43032836;04/02/2023;-49.53;896.19;2023-02-04
82461559;31/01/2023;;652.26;2023-01-31
45790907;05/02/2023;58.28;2198.98;2023-02-05
78392456;12/02/2023;108.51;1013.08;2023-02-12
16030234;09/02/2023;-97.62;-245.64;2023-02-09
93840154;31/01/2023;;159.7;2023-01-31
94729530;01/02/2023;58.96;894.42;2023-02-01
64683004;05/02/2023;-183.09;1086.75;2023-02-05
93569124;31/01/2023;;221.11;2023-01-31
34403979;01/02/2023;181.06;282.2;2023-02-01
