student_id,full_name,date_of_birth,region,school_name,english,science,maths,grade_score,subject_selection,school_status
17376,DANYETTE SEEDULL,2006-12-06,EAST,Evergreen School,A,A,B,140,Data Analytics,Average Performing
15499,EYDE CHADWELL,2007-05-10,WEST,St. Mary's,A,B,A,140,Computer Science,High Performing
16661,TERIANN ARIES,2006-10-20,WEST,Riverbank School,A,A,B,140,Data Analytics,Average Performing
17653,NIKOLAS GRINSTON,2007-01-05,EAST,Southbridge Secondary,B,A,A,140,Psychology,Average Performing
17623,CONSALVE CHITHAM,2007-01-05,EAST,Southbridge Secondary,A,A,B,140,Data Analytics,Average Performing
18910,YANCY DURRAND,2007-04-18,EAST,Waterview Academy,A,A,B,140,Engineering,High Performing
17137,RIOBARD WINSBORROW,2006-10-27,EAST,Vista Academy,A,B,A,140,Data Analytics,Low Performing
18971,LAND TRADEWELL,2007-07-25,EAST,Waterview Academy,A,A,B,140,Psychology,High Performing
17518,ADELHEID MCSAUL,2006-12-22,EAST,Evergreen School,B,A,A,140,Data Analytics,Average Performing
17148,ANABEL JOVIS,2007-03-12,EAST,Vista Academy,A,A,B,140,Computer Science,Low Performing
17951,ERMENGARDE CHESTLE,2006-09-03,EAST,Oak Valley,A,B,A,140,Computer Science,Average Performing
18455,HASKEL THURLBOURNE,2006-09-17,EAST,Park View,B,A,A,140,Computer Science,Average Performing
17757,WES POPLEY,2007-03-23,EAST,Southbridge Secondary,B,A,A,140,Business Management,Average Performing
15228,FREDERIGO PITTOCK,2006-09-21,WEST,Park Road Secondary,A,A,B,140,Data Analytics,Average Performing
18377,JEN LOFFEL,2006-12-18,EAST,Park View,A,B,A,140,Engineering,Average Performing
17435,KAITLIN FREW,2007-03-19,EAST,Evergreen School,B,A,A,140,Data Analytics,Average Performing
18017,BLISS DANELL,2006-10-22,EAST,Oak Valley,B,A,A,140,Data Analytics,Average Performing
18770,BRANDY ANGLIN,2007-04-23,EAST,Waterview Academy,A,A,B,140,Business Management,High Performing
18884,ISA MACDOWAL,2007-04-19,EAST,Waterview Academy,A,B,A,140,Engineering,High Performing
17995,ILKA LEHRAHAN,2007-02-02,EAST,Oak Valley,A,A,B,140,Business Management,Average Performing
15494,CASSAUNDRA ANTHON,2007-06-16,WEST,St. Mary's,A,B,A,140,Computer Science,High Performing
18745,MORIE KALINSKY,2006-09-09,EAST,Waterview Academy,A,B,A,140,Data Analytics,High Performing
18877,FEY MACEUR,2006-12-10,EAST,Waterview Academy,A,A,B,140,Psychology,High Performing
18980,SEAN ROOSE,2006-10-17,EAST,Waterview Academy,A,A,B,140,Data Analytics,High Performing
15890,ASHTON KAMAN,2007-03-24,WEST,Eight Kings,B,A,A,140,Engineering,Average Performing
17456,DEEANN TANKUS,2006-12-12,EAST,Evergreen School,A,A,B,140,Engineering,Average Performing
15120,CHERLYN KREBER,2006-10-23,WEST,Park Road Secondary,A,B,A,140,Engineering,Average Performing
17957,THERESSA VOAS,2007-02-11,EAST,Oak Valley,A,B,A,140,Data Analytics,Average Performing
17472,GEORGEANNE ROTHERA,2007-01-16,EAST,Evergreen School,A,A,B,140,Psychology,Average Performing
17335,DORELLE HILLAND,2007-03-17,EAST,Evergreen School,A,A,B,140,Psychology,Average Performing
17665,HENDRICK IDIENS,2007-01-04,EAST,Southbridge Secondary,A,B,A,140,Data Analytics,Average Performing
18366,WAYLEN HOWSIN,2007-08-01,EAST,Park View,A,B,A,140,Data Analytics,Average Performing
18032,LYSSA MAGINN,2006-09-01,EAST,Oak Valley,A,B,A,140,Psychology,Average Performing
18536,KAROLY CAVY,2007-04-01,EAST,Waterview Academy,A,A,B,140,Engineering,High Performing
18763,CRIN TERRAZZO,2007-08-15,EAST,Waterview Academy,B,A,A,140,Computer Science,High Performing
17758,NORBERT DENISYEV,2007-02-01,EAST,Southbridge Secondary,A,B,A,140,Computer Science,Average Performing
18642,LYNNELL PHAIR,2007-05-08,EAST,Waterview Academy,B,A,A,140,Computer Science,High Performing
18437,BENT WITTERING,2007-05-26,EAST,Park View,B,A,A,140,Computer Science,Average Performing
17919,NERISSA POPPLESTONE,2006-10-12,EAST,Oak Valley,A,A,B,140,Computer Science,Average Performing
17781,ROXANNA JUSTIS,2007-07-31,EAST,Southbridge Secondary,A,A,B,140,Computer Science,Average Performing
18449,RODERICK DAT,2007-05-21,EAST,Park View,A,B,A,140,Business Management,Average Performing
18273,LOUTITIA TICIC,2007-05-14,EAST,Park View,A,A,B,140,Business Management,Average Performing
18219,AVRIL HOCKING,2007-06-25,EAST,Park View,A,A,B,140,Psychology,Average Performing
18170,TIFFI FELIX,2007-04-10,EAST,Oak Valley,B,A,A,140,Data Analytics,Average Performing
18846,DARA DI PIETRO,2006-12-08,EAST,Waterview Academy,A,A,B,140,Business Management,High Performing
17986,SILAS CABANE,2007-07-09,EAST,Oak Valley,A,B,A,140,Psychology,Average Performing
17807,BEVERLIE PLIMMER,2006-11-18,EAST,Southbridge Secondary,A,A,B,140,Business Management,Average Performing
17076,KENNY CAPPLEMAN,2006-12-28,EAST,Vista Academy,A,A,B,140,Psychology,Low Performing
17595,DEVA DEVONSHIRE,2007-06-05,EAST,Evergreen School,A,A,B,140,Business Management,Average Performing
18063,RENEE KEILING,2007-02-12,EAST,Oak Valley,A,A,B,140,Psychology,Average Performing
17822,BERKY DORANT,2007-05-18,EAST,Southbridge Secondary,A,B,A,140,Psychology,Average Performing
18397,GRAEHME MCMINN,2007-03-04,EAST,Park View,B,A,A,140,Engineering,Average Performing
17735,LY ADRIANO,2007-07-30,EAST,Southbridge Secondary,B,A,A,140,Business Management,Average Performing
17676,JOELA GOSTLING,2007-03-11,EAST,Southbridge Secondary,B,A,B,130,Psychology,Average Performing
17803,INGEMAR RICKERSY,2006-10-06,EAST,Southbridge Secondary,A,B,B,130,Psychology,Average Performing
18802,ELYSIA KENVIN,2007-05-03,EAST,Waterview Academy,B,A,B,130,Psychology,High Performing
17594,EMILIA QUERIPEL,2006-12-03,EAST,Evergreen School,A,B,B,130,Business Management,Average Performing
18046,PADRAIC MOYE,2007-05-15,EAST,Oak Valley,A,B,B,130,Engineering,Average Performing
17920,HAYES CHARTRE,2007-02-09,EAST,Oak Valley,B,A,B,130,Engineering,Average Performing
17636,DONOVAN BIERS,2007-05-05,EAST,Southbridge Secondary,B,B,A,130,Engineering,Average Performing
18496,AMABEL MASEY,2007-03-14,EAST,Park View,C,A,A,130,Engineering,Average Performing
18049,JOY KEWARD,2007-08-23,EAST,Oak Valley,B,B,A,130,Engineering,Average Performing
