employee_id,guid,gen_name,first_name,last_name,nationality,gender,email,hire_date,leave_date,date_of_birth
E00078,a29ade9d-de70-4af7-bc7f-d0ee334cd370,Generation Z (1997-2012),Meghana,Rai,IN,female,meghana.rai@example.com,2021-04-01,2022-12-16,2000-04-14
E00079,a240cb01-a801-4577-9a65-c056042f113c,Generation Z (1997-2012),Nicky,Meyer,GB,female,nicky.meyer@example.com,2022-09-19,,2001-02-19
E00081,e1187780-e015-4711-a602-e8ea7bd80aa0,Generation Z (1997-2012),Suzanna,Jackson,GB,female,suzanna.jackson@example.com,2023-06-16,,1999-12-24
E00082,7bfce136-09cb-4136-926f-9a002a37b0c9,Generation Z (1997-2012),Deniz,Mertoğlu,TR,male,deniz.mertoglu@example.com,2023-03-02,,2000-08-16
E00087,317b178f-99c0-48b9-bb0d-9ea981cf77e7,Generation Z (1997-2012),Gabriel,Peters,GB,male,gabriel.peters@example.com,2022-02-28,2022-11-30,1998-07-12
E00088,63f50d91-57c8-4ac0-a819-e110f0ac444d,Generation Z (1997-2012),Martha,Rivera,GB,female,martha.rivera@example.com,2023-01-05,2022-12-26,1999-07-15
E00090,84325321-d190-417c-86b1-00fe69bd1386,Generation Z (1997-2012),Grace,Adams,GB,female,grace.adams@example.com,2021-11-26,2022-06-25,1998-12-27
E00092,695b3dd1-bdde-4a30-811e-452f09b0bd15,Generation Z (1997-2012),Gordon,Shaw,GB,male,gordon.shaw@example.com,2022-05-01,2022-11-11,1998-10-10
E00099,4d9cce28-c4a9-4ce1-9041-8d865c88e204,Generation Z (1997-2012),Ian,Bowman,GB,male,ian.bowman@example.com,2022-03-03,2023-03-08,1998-11-16
E00105,7eecf1a5-d398-4bac-bcc1-bd14a1e82669,Generation Z (1997-2012),Ege,Gönültaş,TR,female,ege.gonultas@example.com,2022-01-24,2022-04-28,1999-08-27
E00108,b1f9fa8e-ab9d-4263-9f1e-4b96930dace3,Generation Z (1997-2012),Kyle,Jimenez,AU,male,kyle.jimenez@example.com,2019-09-21,2021-03-27,2000-07-26
E00109,3dd4bd39-77b7-4f9f-9ad1-f36631e7978d,Generation Z (1997-2012),Lidia,Prieto,ES,female,lidia.prieto@example.com,2023-06-04,,2000-07-16
E00111,505ec663-4282-4f21-a0b4-ee7ac293960c,Generation Z (1997-2012),Daryl,Nguyen,GB,male,daryl.nguyen@example.com,2022-12-18,,1999-11-20
E00120,5b3fc0ab-7eb4-4605-b673-e0602ec76e96,Generation Z (1997-2012),Alex,Chambers,GB,male,alex.chambers@example.com,2023-05-07,,2001-03-29
E00121,04d0b84a-3491-4f55-8bec-1deb1a9d96a1,Generation Z (1997-2012),Vicki,Cooper,GB,female,vicki.cooper@example.com,2022-11-24,,2001-01-09
E00124,65742c46-2f08-490f-9589-c99870facabb,Generation Z (1997-2012),Zack,Rhodes,US,male,zack.rhodes@example.com,2021-12-06,2023-03-11,2000-12-13
E00125,308171f0-f8f3-4cdb-b578-369920970f64,Generation Z (1997-2012),Leo,Horton,US,male,leo.horton@example.com,2023-06-26,,2000-05-19
E00129,eceeef11-422e-4521-aa18-765859e5fae3,Generation Z (1997-2012),Simon,Kristensen,DK,male,simon.kristensen@example.com,2022-04-24,2022-12-07,1998-12-23
E00131,d72e3900-e133-4fae-8f74-dfcd992490da,Generation Z (1997-2012),Catherine,Lewis,GB,female,catherine.lewis@example.com,2022-01-04,2022-11-06,2000-06-19
E00132,d0696203-e504-494c-ad87-37d27bc7e342,Generation Z (1997-2012),Maddison,Harvey,GB,female,maddison.harvey@example.com,2022-05-29,2023-05-06,1998-07-22
E00137,e9ade065-b9ff-4d02-b691-a76dbda71c18,Generation Z (1997-2012),Alexandra,Clark,GB,female,alexandra.clark@example.com,2021-05-30,2020-12-21,1999-12-03
E00138,a505bb6a-8a39-4b32-b32e-1383334126c5,Generation Z (1997-2012),Jackson,Wagner,GB,male,jackson.wagner@example.com,2022-04-13,2023-03-18,2001-05-03
E00139,4d202a6b-6de5-46c1-82fe-05302e08815c,Generation Z (1997-2012),Dick,Reynolds,GB,male,dick.reynolds@example.com,2020-02-29,2023-01-21,1999-06-07
E00143,e062c7aa-159e-4caa-be7e-e63b283ad489,Generation Z (1997-2012),Anna,Ross,US,female,anna.ross@example.com,2018-04-24,,1999-03-16
E00145,b8f71620-d6c2-494f-84c4-2c728072fc7a,Generation Z (1997-2012),Arlene,Peterson,US,female,arlene.peterson@example.com,2021-05-19,,1999-01-30
E00147,9ea220c1-fd56-419f-bf4f-e47c679d257d,Generation Z (1997-2012),Javier,Parker,US,male,javier.parker@example.com,2022-06-30,,1999-07-12
E00149,e50b4ae5-5c6f-42db-baf6-c25aa86a7117,Generation Z (1997-2012),Sammy,Roberts,GB,male,sammy.roberts@example.com,2021-04-29,2021-10-23,2000-07-31
E00152,935fa390-0c30-48bd-a2d8-067200b091dd,Generation Z (1997-2012),Mia,Phillips,GB,female,mia.phillips@example.com,2021-06-29,2022-11-17,2000-11-15
E00154,39cbc447-b0cf-4c09-ae20-0cc50af697e2,Generation Z (1997-2012),Faith,Mcdonalid,GB,female,faith.mcdonalid@example.com,2023-05-02,,2001-01-31
E00165,743e548d-eed9-4c13-adfe-8981fa35c932,Generation Z (1997-2012),Jesus,Shaw,GB,male,jesus.shaw@example.com,2023-05-27,,2001-04-14
E00175,e4092600-a411-4d73-9129-3e57b402e2bf,Generation Z (1997-2012),Lucy,Pena,US,female,lucy.pena@example.com,2023-04-23,,1998-08-04
E00176,19848125-5de5-410d-816c-73f9cbd5e4cd,Generation Z (1997-2012),Deborah,Henry,GB,female,deborah.henry@example.com,2023-02-24,,1998-08-07
E00177,83725782-162b-4582-aaea-c163fdd4cc53,Generation Z (1997-2012),Javier,Henry,CH,male,javier.henry@example.com,2021-04-30,2022-05-22,1999-11-16
E00178,ae54a114-518d-46df-9ecd-66e42012fd07,Generation Z (1997-2012),Donna,Smith,GB,female,donna.smith@example.com,2022-03-24,2023-02-03,1998-09-24
E00179,82249319-c367-4c44-969c-42ac5f07e4cd,Generation Z (1997-2012),Jakob,Payne,GB,male,jakob.payne@example.com,2021-01-26,2020-05-26,2000-03-09
E00180,970e254a-f0e9-4eb1-ad38-5b1d784441b2,Generation Z (1997-2012),Xander,Robinson,GB,male,xander.robinson@example.com,2021-01-27,2023-05-30,2000-04-02
E00183,6f65a7f9-9c1f-4e9e-9833-8a7f4f3ccbc0,Generation Z (1997-2012),Samantha,Pierce,US,female,samantha.pierce@example.com,2020-09-09,2021-09-03,1999-12-09
E00184,14e59963-fecc-4d46-9f7f-f351bb1cae45,Generation Z (1997-2012),Alex,Mitchell,GB,female,alex.mitchell@example.com,2022-10-06,2023-02-16,2001-03-24
E00185,548a6c3b-8381-4250-b5bd-7e9a208e696e,Generation Z (1997-2012),Zander,Nelson,GB,male,zander.nelson@example.com,2023-03-18,,2000-06-26
E00186,3bce5b45-b6de-4e03-96bf-784d7795f74d,Generation Z (1997-2012),Stacey,Cruz,US,female,stacey.cruz@example.com,2021-09-16,2022-09-13,1998-07-11
E00188,300f6f51-f4af-4886-97ad-3deda35ffd46,Generation Z (1997-2012),Clara,Kim,US,female,clara.kim@example.com,2018-11-05,,1999-04-14
E00191,9855555c-21f2-47af-96be-c0936ae3063b,Generation Z (1997-2012),Elliot,Black,GB,male,elliot.black@example.com,2020-06-15,,2000-06-17
E00194,244368ae-899f-49e3-971b-e1f7f5f624bb,Generation Z (1997-2012),Noah,Mason,GB,male,noah.mason@example.com,2022-06-10,2022-10-24,2000-07-04
E00196,3e60bd53-abcb-421f-a3de-9b99d03e33f2,Generation Z (1997-2012),Sebastian,Hansen,DK,male,sebastian.hansen@example.com,2022-04-14,,2000-03-29
E00202,71805088-7656-4507-99b7-fdb3d3598d87,Generation Z (1997-2012),Raul,Graves,GB,male,raul.graves@example.com,2021-04-17,,2001-02-26
E00204,9e915159-5f9d-4e69-a6f7-f7b71049847e,Generation Z (1997-2012),Catherine,Bishop,US,female,catherine.bishop@example.com,2022-03-11,2023-03-26,2000-09-21
E00205,87244bbd-f3e0-46f2-bd66-46276ead04b4,Generation Z (1997-2012),Wendy,Hale,AU,female,wendy.hale@example.com,2022-08-14,2022-10-29,1999-09-14
E00206,a688d05d-fb21-418b-adbd-8b3b25376099,Generation Z (1997-2012),Sheryl,Gibson,GB,female,sheryl.gibson@example.com,2018-09-05,2018-12-19,2000-01-27
E00216,ad1a4d6d-1c97-4c06-8bf3-ecebe1b94073,Generation Z (1997-2012),Carolyn,Hansen,GB,female,carolyn.hansen@example.com,2018-08-17,2019-12-10,2001-01-02
E00217,47a699bd-b254-4f28-b90d-3bc91cddab36,Generation Z (1997-2012),Raul,Cruz,GB,male,raul.cruz@example.com,2020-06-02,,1999-05-20
E00223,c4f1c3cc-04ab-44b3-af22-59675acfee52,Generation Z (1997-2012),Porfirio,Paredes,MX,male,porfirio.paredes@example.com,2023-01-01,2022-12-28,2000-01-01
E00230,2800fd5b-2cd6-4164-9ed3-6f3883ca8d42,Generation Z (1997-2012),Bratislava,Blažić,RS,female,bratislava.blazic@example.com,2019-08-02,2019-11-18,2000-03-16
E00239,9dcb4ab3-f10d-4c0f-b1e6-b2ef46bd72c3,Generation Z (1997-2012),Elliot,Barnaby,CA,male,elliot.barnaby@example.com,2023-03-26,2022-04-27,1999-07-04
E00242,c390761b-704c-469e-bae5-bebba737cd1b,Generation Z (1997-2012),Roy,Perez,GB,male,roy.perez@example.com,2022-02-12,2022-03-21,2000-07-09
E00243,97efb89d-ee55-42a8-b794-9b904d7d540a,Generation Z (1997-2012),Susan,Lawson,GB,female,susan.lawson@example.com,2022-06-17,2023-01-02,2001-05-14
E00248,a0cf745b-b76a-4d59-835b-6daae740a4a2,Generation Z (1997-2012),Everett,Thompson,GB,male,everett.thompson@example.com,2020-01-14,2020-08-10,1999-01-11
E00252,6a73052c-b364-49ce-91b6-bba53b9e0d0d,Generation Z (1997-2012),Regina,Torres,US,female,regina.torres@example.com,2023-05-15,,2000-10-03
E00254,72cfee37-b3fa-4e53-b4d1-c31714a77ed7,Generation Z (1997-2012),Kathy,Gomez,GB,female,kathy.gomez@example.com,2018-08-03,,1999-08-29
E00257,46b0254d-3ec1-4f5a-9614-60fd9bf41a5c,Generation Z (1997-2012),Barb,Jensen,GB,female,barb.jensen@example.com,2022-01-29,2022-10-16,2000-12-27
E00258,b2ba8289-3f7f-4c5b-bb12-5377896c28dc,Generation Z (1997-2012),Marilyn,Pierce,US,female,marilyn.pierce@example.com,2022-04-27,,2000-10-28
E00260,e4fc80cb-de3f-4f3f-8283-bba91fdb919e,Generation Z (1997-2012),Avery,Douglas,GB,female,avery.douglas@example.com,2021-06-07,2021-10-28,1999-07-09
E00261,61afe027-0c5a-49cb-99bf-7a472e91e27c,Generation Z (1997-2012),Eleanor,Dean,GB,female,eleanor.dean@example.com,2022-01-18,2022-09-12,1999-04-24
E00264,2225d921-92c4-4c2d-94d3-a6fdf23048dc,Generation Z (1997-2012),Ciro,Nascimento,BR,male,ciro.nascimento@example.com,2019-02-13,2019-05-30,2000-04-11
E00265,68b77746-3124-4043-b191-3466ff57f781,Generation Z (1997-2012),Alice,Rice,GB,female,alice.rice@example.com,2018-05-09,2022-03-13,1999-06-17
E00267,24bd84de-aafb-48d7-a2ea-fc992939d41c,Generation Z (1997-2012),Tomothy,Coleman,US,male,tomothy.coleman@example.com,2023-06-30,,1998-11-10
E00269,9cebf1cf-3f34-49c6-8942-23d61e36b385,Generation Z (1997-2012),Leah,James,GB,female,leah.james@example.com,2022-06-01,,2000-08-25
E00275,c418ff54-f8e7-4204-b9e0-0dd5f7c32f66,Generation Z (1997-2012),Brianna,Robinson,US,female,brianna.robinson@example.com,2021-06-03,2021-10-17,2000-05-22
E00277,6dcc20bc-f38b-4962-9136-33174fd5a031,Generation Z (1997-2012),Priscilla,Kelly,US,female,priscilla.kelly@example.com,2019-09-06,2020-06-25,1998-06-25
E00278,bce6944f-bc55-4b31-8bb7-9ef9eb8a0b12,Generation Z (1997-2012),Ava,Lynch,GB,female,ava.lynch@example.com,2022-12-10,,2001-05-11
E00279,395efb4b-f5a9-4e68-9d2e-ec86bff05f98,Generation Z (1997-2012),Emma,Sanders,GB,female,emma.sanders@example.com,2023-02-06,2023-01-31,2000-10-23
E00282,6d0a8912-9cdc-47df-89a2-a25d724322b8,Generation Z (1997-2012),Abby,Wagner,GB,female,abby.wagner@example.com,2022-06-13,,2000-03-16
E00285,e630674d-7880-4047-9baa-c38ef3bb7147,Generation Z (1997-2012),Timothy,Vargas,GB,male,timothy.vargas@example.com,2021-07-31,2022-10-12,1999-09-11
E00291,7a5a1ecb-d478-41a5-883f-f20728d6e915,Generation Z (1997-2012),Nelson,Henry,GB,male,nelson.henry@example.com,2021-09-24,,2000-11-18
E00297,0d7641a8-2a56-41dc-b4f9-2e45e5cbe90a,Generation Z (1997-2012),Devashree,Bhoja,IN,female,devashree.bhoja@example.com,2021-11-02,2022-08-23,1999-06-17
E00303,33457bab-f4dd-403f-b2ad-ff53bb9a3972,Generation Z (1997-2012),Willie,Gutierrez,GB,male,willie.gutierrez@example.com,2023-05-27,,2000-08-09
E00306,5a590baa-d9a7-4ba1-8517-a3007cdb411e,Generation Z (1997-2012),Alice,Alexander,GB,female,alice.alexander@example.com,2022-11-05,2023-06-22,1999-07-29
E00309,4b221963-d412-481e-b6da-b97be9e0af3f,Generation Z (1997-2012),Sophie,Mcdonalid,GB,female,sophie.mcdonalid@example.com,2022-11-19,2023-06-03,2000-12-04
E00310,016b2f7a-c315-4ad9-acd3-fc8bc9fa2a7d,Generation Z (1997-2012),Dwight,Mendoza,GB,male,dwight.mendoza@example.com,2023-01-03,,2000-01-06
E00311,59abfe82-d70e-4990-8f92-047574cb5126,Generation Z (1997-2012),Porfírio,Almeida,BR,male,porfirio.almeida@example.com,2022-11-08,2023-02-24,1998-06-12
E00318,d2283619-3958-4122-a8ee-a07b7e1bb4f7,Generation Z (1997-2012),Ted,Little,GB,male,ted.little@example.com,2023-04-08,,1998-11-06
E00319,6fbb8537-af87-4ccc-8912-3b406b1af63f,Generation Z (1997-2012),Phil,Wells,GB,male,phil.wells@example.com,2021-07-23,,2000-11-23
E00320,dda61b88-7425-44d7-967b-283408f36d45,Generation Z (1997-2012),Kelly,Flores,GB,female,kelly.flores@example.com,2022-03-23,,1999-07-07
E00322,d4f75996-a229-493c-a1f5-6112928e6b5a,Generation Z (1997-2012),Fernando,Snyder,GB,male,fernando.snyder@example.com,2021-09-15,2022-04-14,1998-09-08
E00324,344a783d-8c2a-45f4-9445-fa3a66b12f1b,Generation Z (1997-2012),Melanie,Graves,AU,female,melanie.graves@example.com,2021-02-01,2021-07-19,2000-03-23
E00325,e484c02a-316e-4c37-aefc-dfd84f2b26dc,Generation Z (1997-2012),Nicholas,Pearson,GB,male,nicholas.pearson@example.com,2023-02-25,,2001-02-10
E00326,bee50a13-b7a7-4fbe-a23b-7f6954f3c57c,Generation Z (1997-2012),Lenícia,Moreira,BR,female,lenicia.moreira@example.com,2021-05-17,,1999-11-16
E00328,76d8652e-69e2-4535-a726-e56578dbe14f,Generation Z (1997-2012),Felix,Silva,GB,male,felix.silva@example.com,2019-02-23,2019-09-09,1999-12-04
E00330,f113d215-a6f1-41a7-b206-3a4a3a4fcf85,Millenials (1981-1996),Franklin,Shaw,GB,male,franklin.shaw@example.com,2022-04-01,,1992-08-13
E00332,7c347f33-970d-4b14-882b-447715eeaf0e,Millenials (1981-1996),Eric,Cook,GB,male,eric.cook@example.com,2021-05-24,2023-06-09,1989-08-05
E00338,c493bc94-c821-441d-844a-4abbc1cc102e,Millenials (1981-1996),Brent,Pena,GB,male,brent.pena@example.com,2021-05-27,2022-01-02,1989-03-20
E00340,d78836d4-ff9b-46ad-91ca-f1c9084dfc00,Millenials (1981-1996),Susanna,Hamilton,GB,female,susanna.hamilton@example.com,2023-06-13,,1990-02-12
E00342,62778230-325e-4096-ae50-0444c3fc2e1b,Millenials (1981-1996),Brayden,Moore,GB,male,brayden.moore@example.com,2023-05-22,,1991-09-21
E00348,7a59a6e5-55cc-476d-aee1-b5b39e69ee23,Millenials (1981-1996),Izzie,Sanchez,GB,female,izzie.sanchez@example.com,2021-11-28,2023-05-04,1992-09-20
E00352,988caa70-a3f8-4913-b7dc-1c204ce1f6d1,Millenials (1981-1996),Caitlin,Fernandez,GB,female,caitlin.fernandez@example.com,2022-06-01,,1989-08-24
E00353,272dcc1c-afe7-4b20-a1e0-4207183f7257,Millenials (1981-1996),Alexandre,Tremblay,CA,male,alexandre.tremblay@example.com,2020-10-18,2021-11-17,1991-12-25
E00358,183d93f5-0c02-41be-a1bc-02501af6ec72,Millenials (1981-1996),Morris,Thomas,GB,male,morris.thomas@example.com,2022-06-12,2022-10-23,1989-06-26
E00361,2d445ae8-f7fd-4943-bdac-1f574a6f00af,Millenials (1981-1996),Ernest,Stanley,US,male,ernest.stanley@example.com,2022-04-01,,1995-10-14
E00363,127d7847-1008-4833-901a-22e31cd782d8,Millenials (1981-1996),Allie,Dean,GB,female,allie.dean@example.com,2022-04-30,,1996-12-04
E00364,c53db3c4-b0a7-4ac6-806e-86d95e4decde,Millenials (1981-1996),Julie,Bates,GB,female,julie.bates@example.com,2022-09-10,,1989-06-07
E00371,c2cfa608-7964-4378-894f-44e5cacd8d8b,Millenials (1981-1996),Kimberly,Anderson,GB,female,kimberly.anderson@example.com,2022-05-14,,1996-12-06
E00372,2960caae-b88f-4bb4-9d23-7145115f7503,Millenials (1981-1996),Hazel,Pierce,US,female,hazel.pierce@example.com,2023-05-15,,1992-11-30
E00377,4aa11613-0178-435b-9fa6-6a6b16ccff41,Millenials (1981-1996),Ethan,Young,US,male,ethan.young@example.com,2023-02-16,,1996-02-26
E00378,bc0e5f81-4700-412f-af4e-6ed77c846de9,Millenials (1981-1996),Holly,Snyder,GB,female,holly.snyder@example.com,2021-07-07,2021-08-09,1990-02-03
E00380,cd6f28c1-2d44-4dd0-9557-b88f0ac97332,Millenials (1981-1996),Jen,Carpenter,GB,female,jen.carpenter@example.com,2023-05-15,,1990-05-30
E00382,fc3b2b67-e6e4-4dec-81f8-6a8073133a5e,Millenials (1981-1996),Amber,Lowe,GB,female,amber.lowe@example.com,2021-05-11,2022-11-16,1989-07-05
E00383,beb8f410-4243-4633-8f0b-8141c824562f,Millenials (1981-1996),Jennifer,Cruz,GB,female,jennifer.cruz@example.com,2021-01-22,2022-03-28,1995-08-07
E00399,6f8286f0-6651-4472-92e9-10937fff91af,Generation Z (1997-2012),Ling,Shen,GB,female,Ling.Shen@example.com,2022-08-03,2022-07-26,1997-11-05
E00400,973c8b5c-3de0-41ab-b25a-148c4673e0f9,Millenials (1981-1996),Victoria,Pastor,ES,female,victoria.pastor@example.com,2021-05-07,,1988-06-29
E00403,73325da1-623c-49ab-9f7b-e2b2c5050fa6,Millenials (1981-1996),Lisa,Garrett,GB,female,lisa.garrett@example.com,2022-05-06,2023-03-15,1989-01-06
E00404,3f99150d-7fc5-4697-8afd-82309e9515fd,Millenials (1981-1996),Mimosa,Aragão,BR,female,mimosa.aragao@example.com,2022-10-07,2022-09-29,1995-02-24
E00412,7a42b349-d0c6-4e4b-b80e-d54c4074b6ab,Generation Z (1997-2012),Simon,Chow,CA,male,simon.chow@example.com,2021-09-23,2022-02-20,1997-02-13
E00413,537a42b5-091c-4e64-a6eb-c0d98f001ffc,Millenials (1981-1996),Sherri,Bowman,US,female,sherri.bowman@example.com,2023-04-09,,1991-01-12
E00414,b4ddcf3a-ed25-4394-b87d-bd7c07e9dc1d,Millenials (1981-1996),Bertha,Rodriguez,US,female,bertha.rodriguez@example.com,2020-06-09,,1996-11-26
E00416,1646247a-56b3-4fe4-b54f-9e367ca967c4,Millenials (1981-1996),Mathew,Gutierrez,US,male,mathew.gutierrez@example.com,2021-05-26,2022-07-01,1995-02-26
E00421,00b86119-1753-45c3-a4a0-740739451afc,Millenials (1981-1996),Lavrans,Skjeggestad,NO,male,lavrans.skjeggestad@example.com,2020-04-29,2020-05-18,1993-03-13
E00424,ab6f1416-9a82-4104-9dab-dea2fed5b0eb,Millenials (1981-1996),Caroline,Garza,GB,female,caroline.garza@example.com,2018-08-10,2021-08-03,1989-03-30
E00428,18ddba52-b1a4-46c0-ade2-119e387cc9bc,Millenials (1981-1996),Kayla,Gibson,GB,female,kayla.gibson@example.com,2021-05-26,2020-06-27,1993-04-09
E00429,7d7a6d66-e0f5-4ca5-9e14-1cf373434a7a,Millenials (1981-1996),George,Powell,GB,male,george.powell@example.com,2020-09-26,2019-12-18,1995-05-19
E00434,6418fcac-0a46-4351-a7d6-2e98987ca7f0,Millenials (1981-1996),Art,Wade,GB,male,art.wade@example.com,2023-04-02,,1993-12-03
E00437,e30a8645-4db0-45a1-80b4-8aeab7411ad8,Millenials (1981-1996),Ted,Morgan,US,male,ted.morgan@example.com,2019-11-03,2020-06-21,1994-02-05
E00438,7e37efe5-7566-4ee8-b70d-14eb1fa980f8,Millenials (1981-1996),Reina,Limón,MX,female,reina.limon@example.com,2023-02-09,,1994-07-27
E00439,4b0407c8-2fdf-4cc9-ade9-6f6974509e40,Millenials (1981-1996),Sarah,Cooper,GB,female,sarah.cooper@example.com,2022-03-28,2021-07-17,1988-11-13
E00440,cc242669-3813-4743-9d40-218e6e06d939,Millenials (1981-1996),Eva,Foster,US,female,eva.foster@example.com,2022-07-15,2023-02-14,1994-10-21
E00444,1b68b03e-d9cf-4c07-a2ff-101bc4944cae,Millenials (1981-1996),Evan,Stone,GB,male,evan.stone@example.com,2022-05-15,2022-09-28,1989-05-30
E00445,48390fff-8821-4fdf-a3ce-9650ac980c5d,Millenials (1981-1996),Bessie,Bryant,US,female,bessie.bryant@example.com,2023-05-02,,1992-06-20
E00449,06669cb1-4da3-4ba3-9e05-e53c9abe6ea0,Generation Z (1997-2012),Kelly,Lane,US,female,kelly.lane@example.com,2022-12-24,,1998-02-25
E00459,1459dbe1-ddaa-4f81-87c0-44d662c21413,Millenials (1981-1996),Edgar,Wells,US,male,edgar.wells@example.com,2021-07-14,,1993-04-20
E00460,52c5e898-6eb4-42eb-9000-7a224bfb51ef,Millenials (1981-1996),Eddie,Diaz,GB,male,eddie.diaz@example.com,2021-11-08,2022-02-13,1990-12-26
E00466,4a487f10-49a9-415a-af56-5901e762223e,Generation Z (1997-2012),Martha,Gibson,GB,female,martha.gibson@example.com,2023-06-20,,1997-04-07
E00470,cdf7c4a1-162a-4647-965a-4db0ea0c34bf,Millenials (1981-1996),Laura,Richardson,GB,female,laura.richardson@example.com,2023-01-21,,1990-06-21
E00471,16edef11-9aac-4dab-ac2c-615dbf3daca2,Millenials (1981-1996),Julia,Gibson,GB,female,julia.gibson@example.com,2018-11-15,,1990-07-14
E00474,cbb367c3-db04-4f33-9f02-da0a510ba16e,Millenials (1981-1996),Dan,Hughes,US,male,dan.hughes@example.com,2022-03-24,,1990-06-27
E00477,3e0fd109-b063-419b-b95e-bcffe8075f28,Millenials (1981-1996),Sharon,Ramirez,GB,female,sharon.ramirez@example.com,2022-11-21,,1992-07-09
E00478,c2f53247-4446-4d6e-8e36-ebb5c103b7f8,Millenials (1981-1996),Kayla,Morrison,GB,female,kayla.morrison@example.com,2022-03-07,,1995-10-14
E00479,278f30b7-06f6-42a8-94ef-04fc22f286d5,Millenials (1981-1996),Reingard,Strauß,DE,female,reingard.strauss@example.com,2022-06-08,2023-04-27,1990-01-07
